"","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Rank"
"137183","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Gardnerella",NA,"p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales_f__Bifidobacteriaceae_g__Gardnerella"
"4314035","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Variovorax",NA,"p__Proteobacteria_c__Betaproteobacteria_o__Burkholderiales_f__Comamonadaceae_g__Variovorax"
"4453318","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__mitochondria","g__Grevillea",NA,"p__Proteobacteria_c__Alphaproteobacteria_o__Rickettsiales_f__mitochondria_g__Grevillea"
"165118","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__[Paraprevotellaceae]","g__Paraprevotella",NA,"p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__[Paraprevotellaceae]_g__Paraprevotella"
"300662","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Sarcina",NA,"p__Firmicutes_c__Clostridia_o__Clostridiales_f__Clostridiaceae_g__Sarcina"
"710432","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Peptococcaceae","g__Peptococcus",NA,"p__Firmicutes_c__Clostridia_o__Clostridiales_f__Peptococcaceae_g__Peptococcus"
"4330813","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus",NA,"p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae_g__Lactobacillus"
"4468965","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__mitochondria","g__Gyrocarpus",NA,"p__Proteobacteria_c__Alphaproteobacteria_o__Rickettsiales_f__mitochondria_g__Gyrocarpus"
"17356","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Nitrosomonadales","f__Nitrosomonadaceae","g__",NA,"p__Proteobacteria_c__Betaproteobacteria_o__Nitrosomonadales_f__Nitrosomonadaceae_g__"
"4457438","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__",NA,"p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__"
"4447567","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__",NA,"p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Streptococcaceae_g__"
"531748","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Thiomonas",NA,"p__Proteobacteria_c__Betaproteobacteria_o__Burkholderiales_f__Comamonadaceae_g__Thiomonas"
"220679","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Porphyromonadaceae","g__Paludibacter",NA,"p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Porphyromonadaceae_g__Paludibacter"
"4481861","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__",NA,"p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales_f__Bifidobacteriaceae_g__"
"4365130","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Porphyromonadaceae","g__Parabacteroides",NA,"p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Porphyromonadaceae_g__Parabacteroides"
"362470","k__Bacteria","p__Firmicutes","c__Erysipelotrichi","o__Erysipelotrichales","f__Erysipelotrichaceae","g__cc_115",NA,"p__Firmicutes_c__Erysipelotrichi_o__Erysipelotrichales_f__Erysipelotrichaceae_g__cc_115"
"932077","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Micrococcaceae","g__Rothia",NA,"p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Micrococcaceae_g__Rothia"
"174174","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__02d06",NA,"p__Firmicutes_c__Clostridia_o__Clostridiales_f__Clostridiaceae_g__02d06"
"4386257","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Ellin6067","f__","g__",NA,"p__Proteobacteria_c__Betaproteobacteria_o__Ellin6067_f___g__"
"7184","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Pandoraea",NA,"p__Proteobacteria_c__Betaproteobacteria_o__Burkholderiales_f__Burkholderiaceae_g__Pandoraea"
"288889","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__5-7N15",NA,"p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Bacteroidaceae_g__5-7N15"
"4405685","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Methylobacteriaceae","g__",NA,"p__Proteobacteria_c__Alphaproteobacteria_o__Rhizobiales_f__Methylobacteriaceae_g__"
"1128226","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Micrococcaceae","g__Arthrobacter",NA,"p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Micrococcaceae_g__Arthrobacter"
"3228684","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pasteurellales","f__Pasteurellaceae","g__",NA,"p__Proteobacteria_c__Gammaproteobacteria_o__Pasteurellales_f__Pasteurellaceae_g__"
"787663","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__[Mogibacteriaceae]","g__Mogibacterium",NA,"p__Firmicutes_c__Clostridia_o__Clostridiales_f__[Mogibacteriaceae]_g__Mogibacterium"
"822382","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Alteromonadales","f__Alteromonadaceae","g__",NA,"p__Proteobacteria_c__Gammaproteobacteria_o__Alteromonadales_f__Alteromonadaceae_g__"
"311077","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Oceanospirillales","f__Alcanivoracaceae","g__Alcanivorax",NA,"p__Proteobacteria_c__Gammaproteobacteria_o__Oceanospirillales_f__Alcanivoracaceae_g__Alcanivorax"
"4453710","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rhodoferax",NA,"p__Proteobacteria_c__Betaproteobacteria_o__Burkholderiales_f__Comamonadaceae_g__Rhodoferax"
"4444272","k__Bacteria","p__Synergistetes","c__Synergistia","o__Synergistales","f__Synergistaceae","g__",NA,"p__Synergistetes_c__Synergistia_o__Synergistales_f__Synergistaceae_g__"
"4353757","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pasteurellales","f__Pasteurellaceae","g__Aggregatibacter",NA,"p__Proteobacteria_c__Gammaproteobacteria_o__Pasteurellales_f__Pasteurellaceae_g__Aggregatibacter"
"312863","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Rhodocyclales","f__Rhodocyclaceae","g__Thauera",NA,"p__Proteobacteria_c__Betaproteobacteria_o__Rhodocyclales_f__Rhodocyclaceae_g__Thauera"
"324495","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__[Paraprevotellaceae]","g__CF231",NA,"p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__[Paraprevotellaceae]_g__CF231"
"4434334","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__",NA,"p__Firmicutes_c__Clostridia_o__Clostridiales_f__Clostridiaceae_g__"
"2304693","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__Serratia",NA,"p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae_g__Serratia"
"4431355","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Neisseriales","f__Neisseriaceae","g__",NA,"p__Proteobacteria_c__Betaproteobacteria_o__Neisseriales_f__Neisseriaceae_g__"
"4482428","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Neisseriales","f__Neisseriaceae","g__Neisseria",NA,"p__Proteobacteria_c__Betaproteobacteria_o__Neisseriales_f__Neisseriaceae_g__Neisseria"
"851937","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Aeromonadales","f__Succinivibrionaceae","g__Succinatimonas",NA,"p__Proteobacteria_c__Gammaproteobacteria_o__Aeromonadales_f__Succinivibrionaceae_g__Succinatimonas"
"4402537","k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__",NA,"p__Actinobacteria_c__Coriobacteriia_o__Coriobacteriales_f__Coriobacteriaceae_g__"
"4366724","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Rhodocyclales","f__Rhodocyclaceae","g__C39",NA,"p__Proteobacteria_c__Betaproteobacteria_o__Rhodocyclales_f__Rhodocyclaceae_g__C39"
"1108877","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Vibrionales","f__Vibrionaceae","g__Salinivibrio",NA,"p__Proteobacteria_c__Gammaproteobacteria_o__Vibrionales_f__Vibrionaceae_g__Salinivibrio"
"3090117","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__[Barnesiellaceae]","g__",NA,"p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__[Barnesiellaceae]_g__"
"4380976","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Pediococcus",NA,"p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae_g__Pediococcus"
"4453535","k__Bacteria","p__Firmicutes","c__Bacilli","o__Gemellales","f__Gemellaceae","g__",NA,"p__Firmicutes_c__Bacilli_o__Gemellales_f__Gemellaceae_g__"
"4060501","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Peptococcaceae","g__",NA,"p__Firmicutes_c__Clostridia_o__Clostridiales_f__Peptococcaceae_g__"
"4424415","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Rhodocyclales","f__Rhodocyclaceae","g__Methyloversatilis",NA,"p__Proteobacteria_c__Betaproteobacteria_o__Rhodocyclales_f__Rhodocyclaceae_g__Methyloversatilis"
"173876","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__","g__",NA,"p__Firmicutes_c__Clostridia_o__Clostridiales_f___g__"
"4453773","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfovibrionales","f__Desulfovibrionaceae","g__Desulfovibrio",NA,"p__Proteobacteria_c__Deltaproteobacteria_o__Desulfovibrionales_f__Desulfovibrionaceae_g__Desulfovibrio"
"4484176","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Microbacteriaceae","g__",NA,"p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Microbacteriaceae_g__"
"46026","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Alteromonadales","f__[Chromatiaceae]","g__",NA,"p__Proteobacteria_c__Gammaproteobacteria_o__Alteromonadales_f__[Chromatiaceae]_g__"
"851782","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Shuttleworthia",NA,"p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Shuttleworthia"
"4468234","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides",NA,"p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Bacteroidaceae_g__Bacteroides"
"4468891","k__Bacteria","p__Firmicutes","c__Erysipelotrichi","o__Erysipelotrichales","f__Erysipelotrichaceae","g__",NA,"p__Firmicutes_c__Erysipelotrichi_o__Erysipelotrichales_f__Erysipelotrichaceae_g__"
"230132","k__Bacteria","p__Tenericutes","c__Mollicutes","o__RF39","f__","g__",NA,"p__Tenericutes_c__Mollicutes_o__RF39_f___g__"
"4482944","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Leuconostocaceae","g__Leuconostoc",NA,"p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Leuconostocaceae_g__Leuconostoc"
"328472","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Varibaculum",NA,"p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Actinomycetaceae_g__Varibaculum"
"4379449","k__Bacteria","p__Firmicutes","c__Erysipelotrichi","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Clostridium",NA,"p__Firmicutes_c__Erysipelotrichi_o__Erysipelotrichales_f__Erysipelotrichaceae_g__Clostridium"
"4483392","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Moryella",NA,"p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Moryella"
"4393532","k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Eggerthella",NA,"p__Actinobacteria_c__Coriobacteriia_o__Coriobacteriales_f__Coriobacteriaceae_g__Eggerthella"
"4227110","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__Citrobacter",NA,"p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae_g__Citrobacter"
"4482376","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Carnobacteriaceae","g__",NA,"p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Carnobacteriaceae_g__"
"4481131","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Faecalibacterium",NA,"p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae_g__Faecalibacterium"
"4408740","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__","f__","g__",NA,"p__Proteobacteria_c__Betaproteobacteria_o___f___g__"
"4468391","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Ruminococcus",NA,"p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae_g__Ruminococcus"
"2480553","k__Bacteria","p__Fusobacteria","c__Fusobacteriia","o__Fusobacteriales","f__Leptotrichiaceae","g__Leptotrichia",NA,"p__Fusobacteria_c__Fusobacteriia_o__Fusobacteriales_f__Leptotrichiaceae_g__Leptotrichia"
"1100972","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Lactococcus",NA,"p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Streptococcaceae_g__Lactococcus"
"140325","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Oceanospirillales","f__Halomonadaceae","g__Candidatus Portiera",NA,"p__Proteobacteria_c__Gammaproteobacteria_o__Oceanospirillales_f__Halomonadaceae_g__Candidatus Portiera"
"906051","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Planococcaceae","g__Rummeliibacillus",NA,"p__Firmicutes_c__Bacilli_o__Bacillales_f__Planococcaceae_g__Rummeliibacillus"
"263518","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfovibrionales","f__Desulfovibrionaceae","g__",NA,"p__Proteobacteria_c__Deltaproteobacteria_o__Desulfovibrionales_f__Desulfovibrionaceae_g__"
"4480861","k__Bacteria","p__Firmicutes","c__Erysipelotrichi","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Catenibacterium",NA,"p__Firmicutes_c__Erysipelotrichi_o__Erysipelotrichales_f__Erysipelotrichaceae_g__Catenibacterium"
"3537197","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Anaerostipes",NA,"p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Anaerostipes"
"4480244","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Veillonellaceae","g__Dialister",NA,"p__Firmicutes_c__Clostridia_o__Clostridiales_f__Veillonellaceae_g__Dialister"
"4429557","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__",NA,"p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae_g__"
"4417470","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Methylophilales","f__","g__",NA,"p__Proteobacteria_c__Betaproteobacteria_o__Methylophilales_f___g__"
"1126750","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__",NA,"p__Proteobacteria_c__Betaproteobacteria_o__Burkholderiales_f__Alcaligenaceae_g__"
"4426438","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__",NA,"p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae_g__"
"4448331","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__",NA,"p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae_g__"
"4477696","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pasteurellales","f__Pasteurellaceae","g__Haemophilus",NA,"p__Proteobacteria_c__Gammaproteobacteria_o__Pasteurellales_f__Pasteurellaceae_g__Haemophilus"
"4347829","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__[Barnesiellaceae]","g__Barnesiella",NA,"p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__[Barnesiellaceae]_g__Barnesiella"
"4477199","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Limnohabitans",NA,"p__Proteobacteria_c__Betaproteobacteria_o__Burkholderiales_f__Comamonadaceae_g__Limnohabitans"
"750071","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__[Paraprevotellaceae]","g__",NA,"p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__[Paraprevotellaceae]_g__"
"922239","k__Bacteria","p__Firmicutes","c__Bacilli","o__Gemellales","f__","g__",NA,"p__Firmicutes_c__Bacilli_o__Gemellales_f___g__"
"1115946","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Veillonellaceae","g__Pectinatus",NA,"p__Firmicutes_c__Clostridia_o__Clostridiales_f__Veillonellaceae_g__Pectinatus"
"811108","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Syntrophococcus",NA,"p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Syntrophococcus"
"315223","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Anaerotruncus",NA,"p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae_g__Anaerotruncus"
"545465","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__SC-I-84","f__","g__",NA,"p__Proteobacteria_c__Betaproteobacteria_o__SC-I-84_f___g__"
"4475364","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__",NA,"p__Firmicutes_c__Bacilli_o__Bacillales_f__Bacillaceae_g__"
"19636","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Nitrosomonadales","f__Nitrosomonadaceae","g__Nitrosomonas",NA,"p__Proteobacteria_c__Betaproteobacteria_o__Nitrosomonadales_f__Nitrosomonadaceae_g__Nitrosomonas"
"1110065","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rubrivivax",NA,"p__Proteobacteria_c__Betaproteobacteria_o__Burkholderiales_f__Comamonadaceae_g__Rubrivivax"
"1564146","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Peptococcaceae","g__Desulfitobacter",NA,"p__Firmicutes_c__Clostridia_o__Clostridiales_f__Peptococcaceae_g__Desulfitobacter"
"1096610","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__[Tissierellaceae]","g__Finegoldia",NA,"p__Firmicutes_c__Clostridia_o__Clostridiales_f__[Tissierellaceae]_g__Finegoldia"
"509721","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Marinilabiaceae","g__",NA,"p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Marinilabiaceae_g__"
"509989","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__",NA,"p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Bacteroidaceae_g__"
"4397439","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Veillonellaceae","g__",NA,"p__Firmicutes_c__Clostridia_o__Clostridiales_f__Veillonellaceae_g__"
"4452050","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__Klebsiella",NA,"p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae_g__Klebsiella"
"614583","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__Sphingobacteriaceae","g__",NA,"p__Bacteroidetes_c__Sphingobacteriia_o__Sphingobacteriales_f__Sphingobacteriaceae_g__"
"3611663","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Rhodocyclales","f__Rhodocyclaceae","g__Uliginosibacterium",NA,"p__Proteobacteria_c__Betaproteobacteria_o__Rhodocyclales_f__Rhodocyclaceae_g__Uliginosibacterium"
"720949","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__","g__",NA,"p__Firmicutes_c__Bacilli_o__Bacillales_f___g__"
"309028","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__BS11","g__",NA,"p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__BS11_g__"
"278413","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Herminiimonas",NA,"p__Proteobacteria_c__Betaproteobacteria_o__Burkholderiales_f__Oxalobacteraceae_g__Herminiimonas"
"4481427","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Roseburia",NA,"p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Roseburia"
"823745","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pasteurellales","f__Pasteurellaceae","g__Necropsobacter",NA,"p__Proteobacteria_c__Gammaproteobacteria_o__Pasteurellales_f__Pasteurellaceae_g__Necropsobacter"
"527988","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Eubacteriaceae","g__Anaerofustis",NA,"p__Firmicutes_c__Clostridia_o__Clostridiales_f__Eubacteriaceae_g__Anaerofustis"
"4437359","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Oscillospira",NA,"p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae_g__Oscillospira"
"3800917","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Methylophilales","f__Methylophilaceae","g__",NA,"p__Proteobacteria_c__Betaproteobacteria_o__Methylophilales_f__Methylophilaceae_g__"
"3855938","k__Bacteria","p__Firmicutes","c__Erysipelotrichi","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Coprobacillus",NA,"p__Firmicutes_c__Erysipelotrichi_o__Erysipelotrichales_f__Erysipelotrichaceae_g__Coprobacillus"
"4471279","k__Bacteria","p__Cyanobacteria","c__Chloroplast","o__Streptophyta","f__","g__",NA,"p__Cyanobacteria_c__Chloroplast_o__Streptophyta_f___g__"
"4316320","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__Sodalis",NA,"p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae_g__Sodalis"
"1105919","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Ralstonia",NA,"p__Proteobacteria_c__Betaproteobacteria_o__Burkholderiales_f__Oxalobacteraceae_g__Ralstonia"
