"","Verrucomicrobia","Proteobacteria","Actinobacteria","Acidobacteria","Firmicutes","Bacteroidetes","Chloroflexi","Rokubacteria","Entotheonellaeota","Bacteria_unclassified","Planctomycetes","Deinococcus-Thermus","Nitrospirae","Dependentiae","Latescibacteria","Gemmatimonadetes","Epsilonbacteraeota","BRC1","Cyanobacteria","FBP","Chlamydiae","Armatimonadetes","Patescibacteria","Fusobacteria","Elusimicrobia","Spirochaetes","Hydrogenedentes","Kiritimatiellaeota","Fibrobacteres","WS2","WPS-2","RsaHf231","FCPU426","Tenericutes","Synergistetes","GAL15","Omnitrophicaeota","Lentisphaerae"
"WIN_B21_CORE2",981.404352672024,2926.02804012436,2327.09567665865,1487.65178623805,118.495923036311,509.76711444829,471.050624743357,290.960286267378,82.7125007332669,119.669149997067,547.310377192468,0,24.0511526954889,7.03936176453335,19.3582448524667,52.2085997536223,0,1.17322696075556,3.51968088226667,0,4.10629436264445,11.1456561271778,6.45274828415557,0,4.10629436264445,0,0,1.17322696075556,1.75984044113334,0,0,0,1.17322696075556,0,0,0,0.586613480377779,0
"WIN_B21_CORE3",720.097640358015,2634.93355031191,2164.36126932465,1700.56956875509,47.4640629237863,793.327908868999,583.129915920803,246.813127203689,82.7230810957418,199.349064279902,614.320585842148,0,21.697857336588,27.122321670735,47.4640629237863,75.942500678058,0,0,6.78058041768375,0,6.78058041768375,12.2050447518308,6.78058041768375,0,1.35611608353675,0,0,0,4.06834825061025,0,0,0,0,0,0,0,0,0
"WIN_B21_IN1",843.159762078681,2718.35542105812,2435.041218825,1861.62996973808,109.047271209433,374.099968694563,513.409162057811,195.137222164249,78.7853490556193,93.3945528540123,617.238860482104,0,25.0443493686737,3.13054367108421,13.5656892413649,75.1330481060211,0,4.17405822811228,8.8698737347386,0.521757278514035,7.82635917771053,9.39163101325263,3.65230094959825,0,2.08702911405614,0,0,0,3.13054367108421,2.08702911405614,0.521757278514035,0,1.04351455702807,0,0,0,0.521757278514035,0
"WIN_B21_IN2",656.842105263158,3176.14035087719,2511.34502923977,1272.98245614035,88.8888888888889,1079.29824561404,429.941520467836,108.070175438596,50.9941520467836,69.2397660818713,436.491228070175,0,31.3450292397661,0.935672514619883,6.08187134502924,48.6549707602339,4.67836257309942,1.40350877192982,4.21052631578947,0.467836257309942,4.21052631578947,3.74269005847953,7.48538011695906,0,2.80701754385965,0,0,0,1.87134502923977,0.935672514619883,0,0,0,0,0,0,0.935672514619883,0
"WIN_B21_IN3",551.511412708205,3566.93399136336,2520.6662553979,1256.01480567551,111.042566317088,582.356570018507,465.144972239358,144.355336212215,57.9888957433683,81.431215299198,542.87476866132,0,24.6761258482418,14.8056755089451,3.70141887723627,40.715607649599,0,1.23380629241209,4.93522516964837,0,7.40283775447255,8.63664404688464,7.40283775447255,0,3.70141887723627,0,0,0,2.46761258482418,0,0,0,0,0,0,0,0,0
"WIN_C38",885.342789598109,2381.79669030733,2979.90543735225,1579.19621749409,235.224586288416,152.482269503546,601.654846335697,375.886524822695,56.7375886524823,125.295508274232,476.359338061466,0,39.0070921985816,4.72813238770686,17.7304964539007,63.8297872340425,0,1.18203309692671,0,0,10.6382978723404,5.91016548463357,4.72813238770686,0,0,0,0,0,2.36406619385343,0,0,0,0,0,0,0,0,0
"WIN_C38_CONINT",605.472958414135,2544.71019176902,3305.32212885154,1468.43352725706,80.8015513897867,383.538030596854,705.66688213747,98.0392156862745,65.7185951303598,79.7241973712562,528.98082309847,0,24.7791424262012,2.15470803706098,7.54147812971342,53.8677009265245,0,3.23206205559147,8.61883214824391,0,4.30941607412196,16.1603102779573,7.54147812971342,0,4.30941607412196,0,0,0,0,1.07735401853049,0,0,0,0,0,0,0,0
"WIN_C38_CORE1",623.348745046235,3618.72523117569,2002.97225891678,1004.78863936592,776.089828269485,932.133421400264,315.389696169088,127.972258916777,46.2351387054161,66.0501981505945,376.486129458388,0,18.1638044914135,6.60501981505945,4.12813738441215,47.0607661822985,0,1.65125495376486,2.47688243064729,0,4.12813738441215,8.25627476882431,7.43064729194188,0,2.47688243064729,0,0,0,2.47688243064729,0,4.95376486129458,0,0,0,0,0,0,0
"WIN_C38_CORE2",618.464296384822,5153.86913654019,1026.29220197192,736.480430236032,1366.89572751718,385.419778906483,221.093516582014,162.832387212429,37.3468778010158,50.7917538093815,173.289512996713,0,7.46937556020317,1.49387511204063,2.98775022408127,34.3591275769346,0,0,1.49387511204063,0,2.98775022408127,7.46937556020317,7.46937556020317,0,0,0,0,0,0,1.49387511204063,0,0,0,0,0,0,0,0
"WIN_C38_CORE3",560.760732764648,3641.44874842679,2486.36554328066,1219.40987274507,346.804642707314,405.537687036778,432.107397566774,268.493916934694,53.1394210599916,102.083624667879,385.960005593623,0,5.5936232694728,5.5936232694728,20.976087260523,50.3426094252552,0,1.3984058173682,0,0,1.3984058173682,5.5936232694728,1.3984058173682,0,2.7968116347364,0,0,0,1.3984058173682,1.3984058173682,0,0,0,0,0,0,0,0
"WIN_C38_IN1",182.20617202889,5237.19632304662,1227.01904136573,319.271175311884,1348.48982271832,1275.44320420223,137.885751805647,23.8017071569271,14.7734734077479,25.4432042022324,178.102429415627,0,4.1037426132633,1.64149704530532,0.820748522652659,13.9527248850952,2.46224556795798,0,1.64149704530532,0,1.64149704530532,0,1.64149704530532,0.820748522652659,0,0,0,0,1.64149704530532,0,0,0,0,0,0,0,0,0
"WIN_C38_IN2",312.218011189316,4214.04078686158,1784.8763761054,508.03104132828,1353.54629128316,1189.3160079408,264.392708897311,50.5323948745714,19.852012272153,18.9496480779643,237.321783071648,0,0.902364194188775,0,1.80472838837755,27.0709258256632,3.6094567767551,0,3.6094567767551,0,1.80472838837755,2.70709258256632,1.80472838837755,0,0,0,0,0,2.70709258256632,0,0,0.902364194188775,0,0,0,0,0,0
"WIN_C38_IN3",196.816519681652,5266.7240266724,1416.43364164336,437.728543772854,1465.90664659066,610.884061088406,190.363519036352,68.8320068832007,24.7365024736502,25.8120025812003,253.818025381803,0,4.30200043020004,2.15100021510002,2.15100021510002,17.2080017208002,0,0,3.22650032265003,0,5.37750053775005,2.15100021510002,3.22650032265003,0,0,0,0,0,0,0,0,2.15100021510002,0,0,0,0,0,0
