"","metadata.Sample_name","metadata.Sample","metadata.Type","metadata.Location","metadata.Depth","metadata.Sort1","metadata.Sort2","metadata.Stage","metadata.Stage1","metadata.Study_day","metadata.Moisture","metadata.pH","metadata.EC","metadata.DO","metadata.CO2","metadata.NH4","metadata.NO3","metadata.TN","metadata.TC","metadata.CN_ratio","metadata.copies.gdw","metadata.log.copies.gdw","metadata.fungal.bacterial.ratio","metadata.log.f.b.ratio","metadata.Chao1","metadata.Shannon","metadata.InvSimpson","metadata.X","metadata.Phase","metadata.Donor"
"WIN_J140_CORE3","J140_CORE3","gr_15_win3","gr15","grave","core","J","J","Advanced5_transition","G_Advanced",140,0.552230686,6.65,320.9,98.5,24.0557877,315.8272035,128.1521654,0.914,10.928,11.9539,2.8693e+10,10.4577757,0.0166908,-1.77752259,2694.564315,5.899093419,116.6041667,NA,"DECLINE","Donor3_win"
"WIN_J140_IN1","J140_IN1","gr_int_win1","grint","grave","interface","J","J","Advanced5_transition","G_Advanced",140,1,7.3,337.6,79.6,73.498123,1670.4,1.034666667,1.285,22.244,17.315,1.24864e+11,11.09643754,0.0743092,-1.128957335,1914.681564,5.291063599,68.57356025,NA,"DECLINE","Donor1_win"
"WIN_J140_IN2","J140_IN2","gr_int_win2","grint","grave","interface","J","J","Advanced5_transition","G_Advanced",140,0.569855072,6.62,317.1,94,71.04234625,877.8629565,66.39440386,1.034,13.934,13.4766,5.7967e+10,10.76318083,0.000627564,-3.202341718,1842.128049,5.270347002,84.1858283,NA,"DECLINE","Donor2_win"
"WIN_J140_IN3","J140_IN3","gr_int_win3","grint","grave","interface","J","J","Advanced5_transition","G_Advanced",140,0.82594086,7.06,211.2,98.5,76.87459549,428.730914,178.6500538,1.562,18.67,11.9535,59743800000,10.7762925,0.00422716,-2.37395141,2132.629808,5.889240038,152.855342,NA,"DECLINE","Donor3_win"
"WIN_K158","K158","con15_mean","con15","control","core","K","con","Skeletonization1","Control",158,0.366517382,7.403333333,40.47,100.5,1.790477297,7.545172861,8.512180515,0.576666667,7.911666667,13.8389,2933460000,9.467379936,0.0256885,-1.590260442,3260.346535,6.134837559,118.0884417,NA,"DECLINE","Control_win"
"WIN_K158_CONINT","K158_CONINT","conint_mean","conint","control","interface","K","con","Skeletonization1","Control",158,0.570368515,7.583333333,48.98666667,100.5,3.715695066,11.7213048,12.16990983,0.892666667,14.237,15.93203333,7226070000,9.858902446,0.0244683,-1.611395558,3586.385965,6.336687381,156.3857604,NA,"DECLINE","Control_win"
"WIN_K158_CORE1","K158_CORE1","gr_15_win1","gr15","grave","core","K","K","Skeletonization1","H_Skeletonization",158,0.452497551,6.01,243,79.6,37.42426379,376.9521645,64.68455762,0.525,7.494,14.2647,27039400000,10.43199772,0.0961887,-1.016876147,2526.77551,5.289097515,34.1524739,NA,"DECLINE","Donor1_win"
"WIN_K158_CORE2","K158_CORE2","gr_15_win2","gr15","grave","core","K","K","Skeletonization1","H_Skeletonization",158,0.48136646,6.49,90.68,96,4.337007419,30.89142857,39.68086957,0.971,13.937,14.3571,9579810000,9.98135685,0.047354,-1.32464349,3027.343465,6.250055215,108.8968728,NA,"DECLINE","Donor2_win"
"WIN_K158_CORE3","K158_CORE3","gr_15_win3","gr15","grave","core","K","K","Skeletonization1","H_Skeletonization",158,0.411140584,6.5,302.1,100.5,12.6053554,148.6025111,77.59391689,0.936,10.736,11.4741,17446900000,10.24171763,0.104283,-0.981786689,2884.346626,6.344210016,179.4233321,NA,"DECLINE","Donor3_win"
"WIN_K158_IN1","K158_IN1","gr_int_win1","grint","grave","interface","K","K","Skeletonization1","H_Skeletonization",158,0.802687412,7.08,367.2,79.6,64.79986313,638.1513437,0.990276285,1.126,15.533,13.7889,82932900000,10.91872668,0.031601,-1.500298697,1504.272059,4.986453007,51.90945152,NA,"DECLINE","Donor1_win"
"WIN_K158_IN2","K158_IN2","gr_int_win2","grint","grave","interface","K","K","Skeletonization1","H_Skeletonization",158,0.960299625,6.32,423.5,96,73.17678139,558.5547066,162.8355556,1.862,21.121,11.3451,1.48861e+11,11.17277964,0.0329407,-1.482267808,1688.529412,4.490503108,23.47463855,NA,"DECLINE","Donor2_win"
"WIN_K158_IN3","K158_IN3","gr_int_win3","grint","grave","interface","K","K","Skeletonization1","H_Skeletonization",158,0.726982097,7.24,318.5,100.5,65.35128077,624.4767263,263.698653,1.542,17.401,11.2834,18816600000,10.27454202,0.133631,-0.874092484,1269.417722,5.437454593,100.0114277,NA,"DECLINE","Donor3_win"
"WIN_M172","M172","con15_mean","con15","control","core","M","con","Skeletonization2","Control",172,0.341043707,7.196666667,31.25,100.3333333,1.396957926,7.333551586,7.828074137,0.517666667,6.93,13.54866667,4490470000,9.652292028,0.0706039,-1.151171156,5065.002066,6.115513951,109.0588529,NA,"DECLINE","Control_win"
"WIN_M172_CONINT","M172_CONINT","conint_mean","conint","control","interface","M","con","Skeletonization2","Control",172,0.344541405,7.403333333,31.54666667,100.3333333,1.373981397,6.767087578,13.93809631,0.839333333,12.82666667,15.19933333,8071930000,9.906977203,0.0757281,-1.12074266,5200.788043,6.468520469,168.8288995,NA,"DECLINE","Control_win"
"WIN_M172_CORE1","M172_CORE1","gr_15_win1","gr15","grave","core","M","M","Skeletonization2","H_Skeletonization",172,0.948430493,6.54,227.1,93.1,43.69829193,327.5961136,27.12215247,2.341,21.835,9.3279,12660600000,10.10245447,0.430751,-0.365773994,3703.881266,5.947177417,138.629573,NA,"DECLINE","Donor1_win"
"WIN_M172_CORE2","M172_CORE2","gr_15_win2","gr15","grave","core","M","M","Skeletonization2","H_Skeletonization",172,0.425329815,6.24,194.5,99.2,3.927106825,26.87221812,16.26016253,0.304,3.842,12.6529,29755900000,10.47357323,0.0923074,-1.034763453,3781.918367,5.754376727,71.75237738,NA,"DECLINE","Donor2_win"
"WIN_M172_CORE3","M172_CORE3","gr_15_win3","gr15","grave","core","M","M","Skeletonization2","H_Skeletonization",172,0.427518428,6.43,286.5,99.8,7.440196768,110.5850942,157.6361016,0.886,9.999,11.2805,28638300000,10.45694698,0.0647302,-1.188892786,5100.775862,6.421250379,164.8435234,NA,"DECLINE","Donor3_win"
"WIN_M172_IN1","M172_IN1","gr_int_win1","grint","grave","interface","M","M","Skeletonization2","H_Skeletonization",172,1.18061674,6.84,166.7,93.1,80.69233091,270.9779736,28.43524229,1.527,21.112,13.8232,68675600000,10.83680216,0.276054,-0.559005568,2235.046729,4.693227431,25.41665628,NA,"DECLINE","Donor1_win"
"WIN_M172_IN2","M172_IN2","gr_int_win2","grint","grave","interface","M","M","Skeletonization2","H_Skeletonization",172,0.347435219,6.13,188.3,99.2,13.29036906,146.7806099,71.41406663,0.959,12.753,13.2989,28053400000,10.44798539,0.186581,-0.729132382,2819,4.951369214,26.5854415,NA,"DECLINE","Donor2_win"
"WIN_M172_IN3","M172_IN3","gr_int_win3","grint","grave","interface","M","M","Skeletonization2","H_Skeletonization",172,0.531042129,6.5,357.9,99.8,45.96802963,697.5427938,313.4553585,1.054,12.302,11.6726,23265400000,10.36671054,0.120059,-0.920603978,2742.646341,5.009981337,44.90105054,NA,"DECLINE","Donor3_win"
"WIN_N186","N186","con15_mean","con15","control","core","N","con","Skeletonization3","Control",186,0.204788589,7.326666667,36.40333333,101.3,0.985022535,4.841502418,2.673760598,0.573,8.252333333,14.438,21674200000,10.33594383,0.0523928,-1.280728481,4239.856115,5.949257722,86.51775428,NA,"RECOVERY","Control_win"
"WIN_N186_CONINT","N186_CONINT","conint_mean","conint","control","interface","N","con","Skeletonization3","Control",186,0.198190045,7.42,34.59666667,101.3,0.49192926,7.712440791,13.72071539,0.790666667,11.352,14.4155,26905800000,10.42984514,0.00176875,-2.752332805,4896.440501,6.230898815,134.245377,NA,"RECOVERY","Control_win"
"WIN_N186_CORE1","N186_CORE1","gr_15_win1","gr15","grave","core","N","N","Skeletonization3","H_Skeletonization",186,0.24442025,6.78,146.8,93.8,9.265667169,47.91847578,25.36626238,0.46,6.241,13.5594,22976200000,10.36127807,0.786681,-0.104201089,3781.216216,5.762282224,83.77738695,NA,"RECOVERY","Donor1_win"
"WIN_N186_CORE2","N186_CORE2","gr_15_win2","gr15","grave","core","N","N","Skeletonization3","H_Skeletonization",186,0.273410115,6.85,127.6,101,7.648719872,18.43897847,11.05659556,0.337,4.148,12.3155,8269920000,9.917501052,0.310895,-0.507386299,4458.065421,6.062084576,94.16103356,NA,"RECOVERY","Donor2_win"
"WIN_N186_CORE3","N186_CORE3","gr_15_win3","gr15","grave","core","N","N","Skeletonization3","H_Skeletonization",186,0.305590851,7.11,265.7,100.9,5.085782184,52.91994917,85.71639136,0.655,7.791,11.8869,13853900000,10.14157129,0.0874744,-1.058119097,4614.227557,6.005746955,100.1023642,NA,"RECOVERY","Donor3_win"
"WIN_N186_IN1","N186_IN1","gr_int_win1","grint","grave","interface","N","N","Skeletonization3","H_Skeletonization",186,0.405167352,6.31,139.6,93.8,12.39774077,129.2753964,97.49987865,1.265,16.198,12.8045,46320400000,10.66577188,0.0361193,-1.442260793,3996.066298,5.805761188,84.7503244,NA,"RECOVERY","Donor1_win"
"WIN_N186_IN2","N186_IN2","gr_int_win2","grint","grave","interface","N","N","Skeletonization3","H_Skeletonization",186,0.25931677,6.42,265.5,101,8.366251867,493.6521739,104.1371014,0.884,10.966,12.4028,23817700000,10.37689919,0.342809,-0.464947256,2536.78972,5.528014887,83.26381728,NA,"RECOVERY","Donor2_win"
"WIN_N186_IN3","N186_IN3","gr_int_win3","grint","grave","interface","N","N","Skeletonization3","H_Skeletonization",186,0.254518072,6.44,324.9,100.9,8.350260496,283.0192771,180.6171486,1.103,13.026,11.8082,12435800000,10.09467407,0.428486,-0.368063244,4113.419492,6.284135806,176.434968,NA,"RECOVERY","Donor3_win"
"WIN_P201","P201","con15_mean","con15","control","core","P","con","Skeletonization4","Control",201,0.376164884,7.323333333,95.64,100.9,2.40834683,10.60423965,27.39470603,0.533666667,6.811333333,13.01273333,20647600000,10.31486997,0.0350289,-1.455573843,4675.125828,5.978197668,91.63458872,NA,"RECOVERY","Control_win"
"WIN_P201_CONINT","P201_CONINT","conint_mean","conint","control","interface","P","con","Skeletonization4","Control",201,0.737367756,7.553333333,67.92,100.9,3.484662266,7.850123271,10.94948503,0.876666667,13.44633333,15.38843333,5822440000,9.765105146,0.0621022,-1.206893044,5340.521277,6.279464094,134.2541159,NA,"RECOVERY","Control_win"
"WIN_P201_CORE1","P201_CORE1","gr_15_win1","gr15","grave","core","P","P","Skeletonization4","H_Skeletonization",201,0.815232722,7.07,137.8,99.5,10.642032,17.74571509,29.2663921,1.068,14.543,13.6159,10416200000,10.01770823,0.829176,-0.081353259,4031.272727,5.857700295,74.34870507,NA,"RECOVERY","Donor1_win"
"WIN_P201_CORE2","P201_CORE2","gr_15_win2","gr15","grave","core","P","P","Skeletonization4","H_Skeletonization",201,0.293120155,6.9,172.6,99.7,5.1438845,14.31742636,29.23486047,0.376,4.678,12.4404,7502660000,9.875215437,0.297118,-0.527070807,3634.506527,5.837997254,58.08779106,NA,"RECOVERY","Donor2_win"
"WIN_P201_CORE3","P201_CORE3","gr_15_win3","gr15","grave","core","P","P","Skeletonization4","H_Skeletonization",201,0.517548747,7.45,153.7,101.3,1.624639079,4.532412256,12.9497493,0.624,8.269,13.2492,3791360000,9.578795385,0.0573553,-1.241426767,3985.796499,6.111792826,109.936009,NA,"RECOVERY","Donor3_win"
"WIN_P201_IN1","P201_IN1","gr_int_win1","grint","grave","interface","P","P","Skeletonization4","H_Skeletonization",201,0.813844086,6.4,127.6,99.5,20.46602859,126.969086,68.6600448,1.413,17.359,12.2838,2.2647e+10,10.35501054,0.988365,-0.005082647,3542.734756,5.512114314,70.08857569,NA,"RECOVERY","Donor1_win"
"WIN_P201_IN2","P201_IN2","gr_int_win2","grint","grave","interface","P","P","Skeletonization4","H_Skeletonization",201,0.844370861,7.11,196.1,99.7,28.82698989,269.2781457,21.49306843,1.784,20.021,11.2244,1.99753e+11,11.30049371,0.420731,-0.375995919,2132.836066,4.37896944,20.83635888,NA,"RECOVERY","Donor2_win"
"WIN_P201_IN3","P201_IN3","gr_int_win3","grint","grave","interface","P","P","Skeletonization4","H_Skeletonization",201,0.55,6.22,717.8,101.3,23.6500663,639.9433333,329.84,1.069,10.861,10.1625,12460700000,10.09554312,0.699061,-0.155484905,4859.539924,6.217836987,124.6349729,NA,"RECOVERY","Donor3_win"
"WIN_Q216","Q216","con15_mean","con15","control","core","Q","con","Skeletonization5","Control",216,0.200050793,7.18,36.16333333,100,0.543693906,6.088555295,7.636631322,0.515666667,6.963333333,13.7416,6279130000,9.797899552,0.104996,-0.978828104,4929.304264,6.171853109,92.97088006,NA,"RECOVERY","Control_win"
"WIN_Q216_CONINT","Q216_CONINT","conint_mean","conint","control","interface","Q","con","Skeletonization5","Control",216,0.161111553,7.436666667,45.2,100,0.299782803,12.80968083,13.03821551,0.828666667,11.891,14.3713,6810480000,9.833177476,0.0694109,-1.158572579,4815.74269,6.163135651,113.4370309,NA,"RECOVERY","Control_win"
"WIN_Q216_CORE1","Q216_CORE1","gr_15_win1","gr15","grave","core","Q","Q","Skeletonization5","H_Skeletonization",216,0.197006277,7.02,99.44,100,2.708613552,21.18860711,22.34411717,0.209,2.542,12.1446,20742800000,10.31686784,0.143224,-0.843984564,4544.830189,6.013672607,92.52130987,NA,"RECOVERY","Donor1_win"
"WIN_Q216_CORE2","Q216_CORE2","gr_15_win2","gr15","grave","core","Q","Q","Skeletonization5","H_Skeletonization",216,0.19026351,6.94,76.97,100,0.967510327,16.16219145,10.66476105,0.479,6.039,12.6016,8610730000,9.935040016,0.540556,-0.267159452,4384.424107,6.194764893,106.124243,NA,"RECOVERY","Donor2_win"
"WIN_Q216_CORE3","Q216_CORE3","gr_15_win3","gr15","grave","core","Q","Q","Skeletonization5","H_Skeletonization",216,0.247497725,6.57,167.8,100,1.826316958,60.87123567,75.83122839,0.768,9.04,11.7701,6110600000,9.786083867,0.228704,-0.640725908,4449.723361,6.08170941,97.10869426,NA,"RECOVERY","Donor3_win"
"WIN_Q216_IN1","Q216_IN1","gr_int_win1","grint","grave","interface","Q","Q","Skeletonization5","H_Skeletonization",216,0.249282297,5.98,222.6,100,2.226740575,110.769697,153.6117512,1.392,16.843,12.0972,13551100000,10.13197483,1.04218,0.017943365,2451.295359,5.61857744,106.3487906,NA,"RECOVERY","Donor1_win"
"WIN_Q216_IN2","Q216_IN2","gr_int_win2","grint","grave","interface","Q","Q","Skeletonization5","H_Skeletonization",216,0.170558799,6.35,212.2,100,2.770439606,85.84097859,167.62402,0.959,11.51,11.9968,32401900000,10.51057054,0.00407725,-2.389632144,4810.3,6.434506749,169.7958356,NA,"RECOVERY","Donor2_win"
"WIN_Q216_IN3","Q216_IN3","gr_int_win3","grint","grave","interface","Q","Q","Skeletonization5","H_Skeletonization",216,0.18708536,6.33,371.8,100,1.328467626,438.3510541,402.7384933,1.219,15.736,12.9098,11429700000,10.05803294,0.497676,-0.30305331,2991.396341,5.397876114,71.71686354,NA,"RECOVERY","Donor3_win"
"WIN_R234","R234","con15_mean","con15","control","core","R","con","Skeletonization6","Control",234,0.191130034,7.213333333,31.96,100,0.415409428,6.492298734,12.26686832,0.615,8.272,13.48933333,5263750000,9.721295173,0.0561236,-1.250854449,5140.023033,6.246890105,106.2903082,NA,"RECOVERY","Control_win"
"WIN_R234_CONINT","R234_CONINT","conint_mean","conint","control","interface","R","con","Skeletonization6","Control",234,0.202222056,7,75.04666667,100,0.400420482,18.44152792,34.96574155,0.873666667,13.341,15.35633333,16382100000,10.21437052,0.0329591,-1.482025304,5306.249509,6.317183683,157.9596332,NA,"RECOVERY","Control_win"
"WIN_R234_CORE1","R234_CORE1","gr_15_win1","gr15","grave","core","R","R","Skeletonization6","H_Skeletonization",234,0.193301435,6.81,95.34,100,1.414591797,25.80713238,28.74106284,0.754,10.144,13.4588,3518970000,9.546415354,0.322933,-0.490887905,2472.753086,5.140590625,27.92562806,NA,"RECOVERY","Donor1_win"
"WIN_R234_CORE2","R234_CORE2","gr_15_win2","gr15","grave","core","R","R","Skeletonization6","H_Skeletonization",234,0.180700095,6.85,86.34,100,0.664563472,16.38811731,13.74649763,0.46,5.658,12.3095,9798310000,9.991151176,0.41465,-0.382318464,5876.44898,6.470233158,136.1957082,NA,"RECOVERY","Donor2_win"
"WIN_R234_CORE3","R234_CORE3","gr_15_win3","gr15","grave","core","R","R","Skeletonization6","H_Skeletonization",234,0.241540864,6.5,570.4,100,1.832337983,150.5409682,141.601874,0.951,11.309,11.8857,11087800000,10.04484615,0.386977,-0.41231442,3954.897436,6.074728065,96.44903618,NA,"RECOVERY","Donor3_win"
"WIN_R234_IN1","R234_IN1","gr_int_win1","grint","grave","interface","R","R","Skeletonization6","H_Skeletonization",234,0.170546833,5.83,185.7,100,0.683897243,142.2604584,152.5612705,1.233,14.699,11.9261,21583200000,10.33411597,0.506829,-0.295138539,2739.209386,5.405438387,74.41041237,NA,"RECOVERY","Donor1_win"
"WIN_R234_IN2","R234_IN2","gr_int_win2","grint","grave","interface","R","R","Skeletonization6","H_Skeletonization",234,0.173376029,6.7,66.15,100,0.556988788,76.34766697,45.605215,0.883,11.483,13.0038,24742200000,10.39343837,0.217743,-0.662056092,3420.702128,5.598830749,64.21855156,NA,"RECOVERY","Donor2_win"
"WIN_R234_IN3","R234_IN3","gr_int_win3","grint","grave","interface","R","R","Skeletonization6","H_Skeletonization",234,0.206956522,6.42,346.5,100,1.482911123,287.0142609,232.3793623,1.081,12.709,11.7568,14735900000,10.16837723,0.409384,-0.387869636,2800.610169,5.671212325,103.4055865,NA,"RECOVERY","Donor3_win"
"WIN_S252","S252","con15_mean","con15","control","core","S","con","Skeletonization7","Control",252,0.345425704,7.146666667,90.68333333,100,1.667254156,6.545588453,27.57273476,0.538,7.058,13.09593333,6965280000,9.842938496,0.0279601,-1.553461608,3955.453052,5.921358553,73.05259588,NA,"RECOVERY","Control_win"
"WIN_S252_CONINT","S252_CONINT","conint_mean","conint","control","interface","S","con","Skeletonization7","Control",252,0.49652109,7.25,96.09333333,100,3.399865361,5.950171774,30.25327095,0.725666667,10.27266667,14.2592,5130690000,9.710175357,0.101667,-0.992820388,5011.254269,6.290181072,133.6236262,NA,"RECOVERY","Control_win"
"WIN_S252_CORE1","S252_CORE1","gr_15_win1","gr15","grave","core","S","S","Skeletonization7","H_Skeletonization",252,0.287465181,6.83,157.6,100,3.326767923,26.07889471,43.63648654,0.419,5.144,12.2818,6828010000,9.834293932,0.647751,-0.188591604,3589.051852,5.616620406,70.85887068,NA,"RECOVERY","Donor1_win"
"WIN_S252_CORE2","S252_CORE2","gr_15_win2","gr15","grave","core","S","S","Skeletonization7","H_Skeletonization",252,0.219812716,6.92,70.94,100,3.680501046,25.94460325,27.60029571,0.308,3.913,12.7172,19833700000,10.29740375,0.136719,-0.864171691,4766.378906,6.20843277,84.63195621,NA,"RECOVERY","Donor2_win"
"WIN_S252_CORE3","S252_CORE3","gr_15_win3","gr15","grave","core","S","S","Skeletonization7","H_Skeletonization",252,0.313861386,7.02,326.9,100,3.146910889,58.72084488,104.4432211,0.8,9.222,11.5211,13835200000,10.140984,0.0541846,-1.266124373,3974.935484,6.04367969,116.3773085,NA,"RECOVERY","Donor3_win"
"WIN_S252_IN1","S252_IN1","gr_int_win1","grint","grave","interface","S","S","Skeletonization7","H_Skeletonization",252,0.340981857,6.45,91.91,100,12.51208194,138.4787264,145.2193952,0.786,10.356,13.1698,6595290000,9.819234033,0.204902,-0.68845342,2864.538462,5.392634978,60.54914807,NA,"RECOVERY","Donor1_win"
"WIN_S252_IN2","S252_IN2","gr_int_win2","grint","grave","interface","S","S","Skeletonization7","H_Skeletonization",252,0.283289125,6.58,260.6,100,12.41311891,151.7703271,151.8045482,0.723,9.405,13.0118,14690800000,10.16704429,0.735329,-0.133518454,2656.666667,5.33933926,71.70321831,NA,"RECOVERY","Donor2_win"
"WIN_S252_IN3","S252_IN3","gr_int_win3","grint","grave","interface","S","S","Skeletonization7","H_Skeletonization",252,0.253702819,6.32,251.8,100,8.402675669,386.5583692,288.1009078,1.912,20.106,10.5138,8247830000,9.916339904,0.691665,-0.160104401,2642.02765,5.390061161,86.01031058,NA,"RECOVERY","Donor3_win"
"WIN_T290","T290","con15_mean","con15","control","core","T","con","Skeletonization8","Control",290,0.476846963,7.38,43.12,100,1.318537478,4.751516641,5.059885262,0.545666667,7.045,12.97246667,11570200000,10.06333971,0.0400539,-1.397355442,4894.47619,6.058591002,98.59803278,NA,"RECOVERY","Control_win"
"WIN_T290_CONINT","T290_CONINT","conint_mean","conint","control","interface","T","con","Skeletonization8","Control",290,0.599685054,7.226666667,51.18333333,100,2.794623828,8.792033273,5.615296353,0.696333333,9.692,13.97716667,26497400000,10.42320308,0.10877,-0.963492782,4984.842412,6.299490427,149.4219861,NA,"RECOVERY","Control_win"
"WIN_T290_CORE1","T290_CORE1","gr_15_win1","gr15","grave","core","T","T","Skeletonization8","H_Skeletonization",290,0.454381753,7.22,41.38,100,4.05356487,10.20006403,21.81960464,0.409,5.225,12.7894,16560100000,10.21906184,0.309645,-0.509135534,4650.024814,5.899577322,82.40313281,NA,"RECOVERY","Donor1_win"
"WIN_T290_CORE2","T290_CORE2","gr_15_win2","gr15","grave","core","T","T","Skeletonization8","H_Skeletonization",290,0.508244994,7.2,69.39,100,4.090570818,9.049469965,10.60195681,0.609,9.006,14.7994,11849600000,10.07370212,0.137887,-0.860475533,3590.899721,5.515507231,42.13678774,NA,"RECOVERY","Donor2_win"
"WIN_T290_CORE3","T290_CORE3","gr_15_win3","gr15","grave","core","T","T","Skeletonization8","H_Skeletonization",290,0.574468085,6.87,199.2,100,5.953843797,31.20385816,70.64113475,0.786,8.859,11.275,22435700000,10.3509388,0.149974,-0.823984141,4670.789362,6.144870505,124.8221148,NA,"RECOVERY","Donor3_win"
"WIN_T290_IN1","T290_IN1","gr_int_win1","grint","grave","interface","T","T","Skeletonization8","H_Skeletonization",290,0.597135741,7.05,63.49,100,7.97882006,40.14134496,48.97882939,0.903,12.408,13.7351,33998300000,10.53145701,0.36556,-0.437040862,3421.712963,5.703989112,97.52337217,NA,"RECOVERY","Donor1_win"
"WIN_T290_IN2","T290_IN2","gr_int_win2","grint","grave","interface","T","T","Skeletonization8","H_Skeletonization",290,0.645024272,6.5,121.4,100,12.65691801,38.16456311,29.12789644,0.877,11.036,12.5876,2.9597e+10,10.47124736,0.493231,-0.3069494,4417.206967,6.194048583,116.4154253,NA,"RECOVERY","Donor2_win"
"WIN_T290_IN3","T290_IN3","gr_int_win3","grint","grave","interface","T","T","Skeletonization8","H_Skeletonization",290,0.658719346,6.19,448.5,100,11.65150753,263.1834696,247.9232516,0.898,10.119,11.2645,3.1693e+10,10.50096365,0.800096,-0.096857634,4918.534221,6.313978272,160.3051424,NA,"RECOVERY","Donor3_win"
"WIN_U335","U335","con15_mean","con15","control","core","U","con","Skeletonization9","Control",335,0.541213809,7.636666667,46.52,100,2.089115572,3.640142866,7.189670398,0.620333333,8.035333333,12.936,32787700000,10.51571142,0.0284108,-1.546517129,4339.183932,6.007657638,93.31375607,NA,"RECOVERY","Control_win"
"WIN_U335_CONINT","U335_CONINT","conint_mean","conint","control","interface","U","con","Skeletonization9","Control",335,0.723084631,7.526666667,45.90666667,100,4.349041571,4.530624959,7.686762086,0.78,11.12566667,14.30696667,37509500000,10.57414182,0.0305948,-1.514351754,4680.418327,6.277806552,134.4043431,NA,"RECOVERY","Control_win"
"WIN_U335_CORE1","U335_CORE1","gr_15_win1","gr15","grave","core","U","U","Skeletonization9","H_Skeletonization",335,0.451456311,6.89,52.34,100,4.457141304,6.665087379,13.27598706,0.502,6.136,12.2172,9692910000,9.986454157,0.620922,-0.206962675,3910.25,6.091621648,100.1595904,NA,"RECOVERY","Donor1_win"
"WIN_U335_CORE2","U335_CORE2","gr_15_win2","gr15","grave","core","U","U","Skeletonization9","H_Skeletonization",335,0.461779449,7.19,73.26,100,5.496380032,11.24205848,16.87868003,0.344,4.215,12.2498,9463780000,9.976064701,0.126135,-0.899165962,3642.636132,6.138450273,114.3255277,NA,"RECOVERY","Donor2_win"
"WIN_U335_CORE3","U335_CORE3","gr_15_win3","gr15","grave","core","U","U","Skeletonization9","H_Skeletonization",335,0.679812834,6.95,170.4,100,7.394273932,113.5105526,86.34237968,1.06,11.224,10.5906,31257700000,10.49495674,0.0834444,-1.078602726,4534.879518,6.090791885,113.1435273,NA,"RECOVERY","Donor3_win"
"WIN_U335_IN1","U335_IN1","gr_int_win1","grint","grave","interface","U","U","Skeletonization9","H_Skeletonization",335,0.82192846,6.8,69.98,100,13.1839742,18.60796267,39.03785381,1.051,13.715,13.0537,60303600000,10.78034327,0.0903843,-1.043906984,3809.147826,6.081532773,129.2759232,NA,"RECOVERY","Donor1_win"
"WIN_U335_IN2","U335_IN2","gr_int_win2","grint","grave","interface","U","U","Skeletonization9","H_Skeletonization",335,0.913740458,6.93,120.3,100,21.12310275,27.45579644,71.70147583,1.036,12.608,12.1739,71508600000,10.85435851,0.0915264,-1.038453612,4857.861915,6.387158896,174.2132825,NA,"RECOVERY","Donor2_win"
"WIN_U335_IN3","U335_IN3","gr_int_win3","grint","grave","interface","U","U","Skeletonization9","H_Skeletonization",335,0.762539683,6.27,231.2,100,14.96605936,44.5805037,123.4482794,1.012,10.591,10.4703,49092600000,10.69101609,0.0411983,-1.385120817,4269.21513,6.301751186,173.9853848,NA,"RECOVERY","Donor3_win"
"WIN_V384","V384","con15_mean","con15","control","core","V","con","Skeletonization10","Control",384,0.536901423,7.37,53.61333333,100,1.547419194,5.615671036,7.256384691,0.507,6.868,13.71876667,19380700000,10.28736928,0.0367482,-1.434763699,4218.453488,5.999466226,91.22311755,NA,"RECOVERY","Control_win"
"WIN_V384_CONINT","V384_CONINT","conint_mean","conint","control","interface","V","con","Skeletonization10","Control",384,0.700089656,6.94,47.79666667,100,4.265319194,34.18862137,7.127438491,0.716333333,10.634,14.88526667,19667200000,10.29374264,0.0477616,-1.320921451,4855.7,6.273223189,142.688227,NA,"RECOVERY","Control_win"
"WIN_V384_CORE1","V384_CORE1","gr_15_win1","gr15","grave","core","V","V","Skeletonization10","H_Skeletonization",384,0.427094668,6.9,44.59,100,4.497846277,6.697830976,14.97878564,0.534,6.439,12.0658,34454200000,10.53724271,0.0855505,-1.06777738,3937.021898,5.992504789,93.50376106,NA,"RECOVERY","Donor1_win"
"WIN_V384_CORE2","V384_CORE2","gr_15_win2","gr15","grave","core","V","V","Skeletonization10","H_Skeletonization",384,0.727591036,7.05,64.16,100,7.63124805,29.03735014,42.14400747,0.955,12.145,12.715,27292300000,10.43604077,0.113406,-0.945362954,4574.817289,6.248682043,103.8263656,NA,"RECOVERY","Donor2_win"
"WIN_V384_CORE3","V384_CORE3","gr_15_win3","gr15","grave","core","V","V","Skeletonization10","H_Skeletonization",384,0.697421981,6.42,291.1,100,8.815437268,5.82102578,8.319630936,0.804,8.793,10.9381,27684600000,10.4422382,0.153057,-0.815146251,2067,5.805210259,118.902115,NA,"RECOVERY","Donor3_win"
"WIN_V384_IN1","V384_IN1","gr_int_win1","grint","grave","interface","V","V","Skeletonization10","H_Skeletonization",384,0.783368274,6.81,79.02,100,13.08731732,25.6567249,42.89595155,1.365,15.201,11.1358,38471800000,10.58514283,0.213479,-0.670643944,4288.837004,6.218456939,127.4876646,NA,"RECOVERY","Donor1_win"
