"","Verrucomicrobia","Proteobacteria","Actinobacteria","Acidobacteria","Firmicutes","Bacteroidetes","Chloroflexi","Rokubacteria","Entotheonellaeota","Bacteria_unclassified","Planctomycetes","Deinococcus-Thermus","Nitrospirae","Dependentiae","Latescibacteria","Gemmatimonadetes","Epsilonbacteraeota","BRC1","Cyanobacteria","FBP","Chlamydiae","Armatimonadetes","Patescibacteria","Fusobacteria","Elusimicrobia","Spirochaetes","Hydrogenedentes","Kiritimatiellaeota","Fibrobacteres","WS2","WPS-2","RsaHf231","FCPU426","WS4","Tenericutes","Synergistetes","GAL15","Omnitrophicaeota","Lentisphaerae"
"A0",990.688192186897,2388.5613532426,1797.89520083751,2053.00567524381,26.9987327125461,596.727092401785,548.790566973387,237.478648961375,55.0994545154003,175.767259904127,675.519312358808,0,26.4477381673921,45.7325472477823,96.4240454019505,170.257314452587,0,6.06093999669403,9.91790181277205,0,12.6728745385421,17.6318254449281,30.8556945286242,0,22.0397818061601,3.30596727092402,0.550994545154003,1.10198909030801,5.50994545154003,2.20397818061601,0,0,0,0,0,0,0.550994545154003,2.20397818061601,0
"A0_CONINT",739.369865487045,3101.47151755891,1465.64954410039,1569.46826758147,11.7360296109055,1859.70930757425,359.303060395414,96.5965514128374,26.6317595016701,74.9300352080888,462.21901236797,0,13.5415726279679,4.96524329692155,23.0206734675454,114.200595829196,0,8.12494357678072,12.6388011194367,0.451385754265595,4.96524329692155,7.67355782251512,25.2776022388733,0,8.57632933104631,0.451385754265595,1.80554301706238,0.902771508531191,3.15970027985917,0.451385754265595,0.451385754265595,0,1.35415726279679,0,0.902771508531191,0,0,0,0
"A0_CORE1",989.305709209159,2506.62107345201,2906.23219015052,1386.90536055516,44.5874819806229,255.120855543263,570.920915887224,280.934660900466,91.5216735391733,145.831238056924,590.36508096148,0,21.4556304267659,9.7220825371283,40.5645512756043,88.5044755104093,0,1.34097690167287,27.825270709712,0,9.7220825371283,12.0687921150558,7.37537295920078,0,4.69341915585504,1.34097690167287,0.335244225418217,0.335244225418217,3.01719802876395,0.335244225418217,0,0,0.670488450836434,0,0.335244225418217,0,0,2.0114653525093,0
"A0_CORE2",1160.19634091923,2489.69735149749,2257.92057117358,1725.33270336247,49.8726933879308,275.874740793238,608.709347192692,329.947239940153,87.1459694989107,144.630810824999,553.324408746096,0,35.173373231488,22.5739559545371,61.4221592251358,129.931490668557,0,2.3623907394283,4.19980575898365,0,13.3868808567604,12.8619051368874,15.2242958763157,0,11.2869779772686,0.262487859936478,0.524975719872956,0,3.67483003911069,0.262487859936478,0.262487859936478,0,1.31243929968239,0,0.262487859936478,0,0,2.3623907394283,0
"A0_CORE3",1177.30729252147,2401.84546929993,2120.83082590222,1800.42671918595,56.8958914601455,266.42595327972,622.572350785054,481.973849772963,101.026679067053,186.370516257272,504.403960829367,0,28.6303043565476,20.7888834181301,67.6550504221602,106.679796487773,0.182358626474825,2.1883035176979,0.911793132374127,0.182358626474825,12.582745226763,15.8652005033098,9.11793132374127,0,8.93557269726644,0.182358626474825,0.364717252949651,1.27651038532378,1.27651038532378,1.09415175884895,0,0,0.911793132374127,0,0,0,0.364717252949651,0.729434505899301,0
"A0_IN1",803.922532441998,2784.11325206449,2580.12190326386,1398.9382618954,9.58513566653559,843.983484073928,585.430593786866,77.1726307510814,29.0011797090051,66.1128588281557,559.132913881243,0,11.7970900511207,5.16122689736532,8.84781753834054,148.692489186001,0,4.66968147856862,7.86472670074715,1.96618167518679,10.568226504129,9.83090837593394,26.0519071962249,0,8.35627211954385,0,0,0.983090837593394,4.17813605977192,1.22886354699174,0.737318128195045,0,0.737318128195045,0,10.0766810853323,0,0,0.737318128195045,0
"A0_IN2",888.797401765701,2592.2876355153,2112.43767439733,1666.4379488587,1.82974246374823,1058.50601527835,499.977128219203,92.8594300352225,19.2122958693564,83.7107177164814,598.32578564567,0,15.5528109418599,10.5210191665523,29.7333150359087,194.410136773249,0,6.4040986231188,9.14871231874114,2.74461369562234,8.23384108686702,31.5630574996569,46.2009972096427,0,13.2656328621746,1.37230684781117,0.457435615937057,1.82974246374823,6.86153423905585,5.03179177530763,0,0,0.457435615937057,0,0,0,0,1.82974246374823,0
"A0_IN3",840.096717962175,2867.42516541396,1799.02907162003,1742.23538452887,27.7408108564038,1161.36529774512,470.09428126933,119.772825251635,26.2413075668685,83.0349946580195,498.584843770501,0,23.6171768101816,37.1127064159997,35.6132031264644,161.946355269817,0,3.1864444902626,14.0578433393938,0.937189555959588,8.24726809244438,17.6191636520403,34.4885756593129,0,12.5583400498585,2.62413075668685,0.562313733575753,1.68694120072726,2.24925493430301,1.68694120072726,1.31206537834342,0,3.1864444902626,0,0.562313733575753,0,0,1.12462746715151,0
"B8",1111.27479866431,2548.61520329994,2378.21646042035,1646.53309762326,69.7308976625417,286.289530544097,565.70418385386,382.537811824789,67.7666470241603,147.318797878609,563.248870555883,0,29.9548222353172,16.6961304262424,48.1241406403457,94.28403064231,0,1.96425063838146,3.43743861716755,0,9.82125319190729,9.33019053231192,7.36593989393047,0,6.8748772343351,0,0,0.491062659595364,2.45531329797682,0,0,0,0.491062659595364,0,0.982125319190729,0,0,0.491062659595364,0
"B8_CONINT",951.660412379454,2758.54416333777,2217.24569261187,1460.67869103821,16.341847233991,947.221885970221,506.597264253722,99.866844207723,33.4906992696607,86.5512649800266,584.674978816124,0.201751200419642,25.6224024532946,15.1313400314732,19.166364039866,152.725658717669,0,4.84202881007142,12.5085744260178,2.01751200419642,12.5085744260178,16.94710083525,38.3327280797321,0,16.1400960335714,0.80700480167857,1.81576080377678,2.62276560545535,6.45603841342856,2.01751200419642,0.605253601258927,0,1.61400960335714,0,1.81576080377678,0,0,3.22801920671428,0
"B8_CORE1",840.863453815261,2899.51472556894,1856.59303882195,1699.71552878179,218.373493975904,550.953815261044,561.412315930388,249.330655957162,47.6907630522088,142.653949129853,539.658634538153,0,20.4986613119143,28.028781793842,89.524765729585,164.825970548862,0,3.34672021419009,5.02008032128514,0.418340026773762,9.62182061579652,17.9886211512718,25.9370816599732,0,12.1318607764391,0.418340026773762,0.418340026773762,1.25502008032128,4.18340026773762,1.67336010709505,0.836680053547523,0,0.418340026773762,0,0,0,0,6.69344042838019,0
"B8_CORE2",1042.55774165954,2737.91702309666,2349.76475620188,1282.07869974337,548.011120615911,312.232677502139,516.467065868263,256.629597946963,89.8203592814371,112.810094097519,501.497005988024,0,35.2865697177074,29.940119760479,51.3259195893926,84.4739093242087,0,3.74251497005988,2.13857998289136,0,8.55431993156544,10.158254918734,8.55431993156544,1.60393498716852,8.55431993156544,0,0,0,4.27715996578272,0,0,0,0,0,0,0,0.53464499572284,1.06928999144568,0
