"","Kingdom","Phylum","Class","Order","Family","Genus"
"Otu02459","Bacteria","Gemmatimonadetes","Longimicrobia",NA,NA,NA
"Otu02461","Bacteria","Fibrobacteres","Fibrobacteria",NA,NA,NA
"Otu02516","Bacteria","Elusimicrobia","Elusimicrobia",NA,NA,NA
"Otu02561","Bacteria","WS2","WS2_cl",NA,NA,NA
"Otu02593","Bacteria","Elusimicrobia","Lineage_IIb",NA,NA,NA
"Otu02695","Bacteria","Latescibacteria","Latescibacteria",NA,NA,NA
"Otu02723","Bacteria","Armatimonadetes","Chthonomonadetes",NA,NA,NA
"Otu02873","Bacteria","Actinobacteria","0319-7L14",NA,NA,NA
"Otu03005","Bacteria","Cyanobacteria","Sericytochromatia",NA,NA,NA
"Otu03136","Bacteria","Chloroflexi","P2-11E",NA,NA,NA
"Otu03393","Bacteria","Spirochaetes","V2072-189E03",NA,NA,NA
"Otu03592","Bacteria","Patescibacteria","Patescibacteria_unclassified",NA,NA,NA
"Otu03607","Bacteria","WPS-2","WPS-2_cl",NA,NA,NA
"Otu03730","Bacteria","Patescibacteria","Berkelbacteria",NA,NA,NA
"Otu03736","Bacteria","Acidobacteria","Subgroup_20",NA,NA,NA
"Otu03811","Bacteria","Acidobacteria","Subgroup_15",NA,NA,NA
"Otu03865","Bacteria","RsaHf231","RsaHf231_cl",NA,NA,NA
"Otu03962","Bacteria","FCPU426","FCPU426_cl",NA,NA,NA
"Otu03995","Bacteria","WS4","WS4_cl",NA,NA,NA
"Otu04240","Bacteria","Acidobacteria","AT-s3-28",NA,NA,NA
"Otu04416","Bacteria","Tenericutes","Mollicutes",NA,NA,NA
"Otu04439","Bacteria","Planctomycetes","BD7-11",NA,NA,NA
"Otu05902","Bacteria","Patescibacteria","ABY1",NA,NA,NA
"Otu05905","Bacteria","Acidobacteria","Subgroup_9",NA,NA,NA
"Otu05937","Bacteria","Synergistetes","Synergistia",NA,NA,NA
"Otu05973","Bacteria","GAL15","GAL15_cl",NA,NA,NA
"Otu06316","Bacteria","Omnitrophicaeota","Omnitrophicaeota_cl",NA,NA,NA
"Otu06360","Bacteria","Bacteroidetes","Rhodothermia",NA,NA,NA
"Otu07594","Bacteria","Patescibacteria","uncultured",NA,NA,NA
"Otu08049","Bacteria","Omnitrophicaeota","Omnitrophia",NA,NA,NA
"Otu08250","Bacteria","Armatimonadetes","Armatimonadetes_unclassified",NA,NA,NA
"Otu10514","Bacteria","Elusimicrobia","Lineage_IIc",NA,NA,NA
"Otu10695","Bacteria","Lentisphaerae","Lentisphaeria",NA,NA,NA
