"","Verrucomicrobiae","Alphaproteobacteria","Gammaproteobacteria","Actinobacteria","Subgroup_6","Bacilli","Deltaproteobacteria","MB-A2-108","Clostridia","Bacteroidia","KD4-96","NC10","Thermoleophilia","Entotheonellia","Blastocatellia_(Subgroup_4)","Acidimicrobiia","Chloroflexia","Bacteria_unclassified","Holophagae","Actinobacteria_unclassified","Subgroup_5","Dehalococcoidia","Planctomycetacia","Deinococci","TK10","Nitrospira","Acidobacteriia","Gitt-GS-136","Babeliae","Subgroup_18","Anaerolineae","Latescibacteria_cl","Phycisphaerae","Ktedonobacteria","Subgroup_17","Subgroup_11","S0134_terrestrial_group","Campylobacteria","Subgroup_22","Gemmatimonadetes","BRC1_cl","Planctomycetes_unclassified","Negativicutes","Oxyphotobacteria","Thermoanaerobaculia","OLB14","FBP_cl","Ignavibacteria","Pla4_lineage","Erysipelotrichia","OM190","Chlamydiae","Pla3_lineage","Acidobacteria_unclassified","Subgroup_25","Coriobacteriia","BD2-11_terrestrial_group","Fimbriimonadia","uncultured","Chloroflexi_unclassified","JG30-KF-CM66","Proteobacteria_unclassified","AD3","Gracilibacteria","Fusobacteriia","Microgenomatia","Lineage_IIa","vadinHA49","Melainabacteria","Rubrobacteria","Spirochaetia","Saccharimonadia","Firmicutes_unclassified","Leptospirae","Armatimonadia","Parcubacteria","Hydrogenedentia","Bacteroidetes_unclassified","Kiritimatiellae","Cyanobacteria_unclassified","Longimicrobia","Fibrobacteria","Elusimicrobia","WS2_cl","Lineage_IIb","Latescibacteria","Chthonomonadetes","0319-7L14","Sericytochromatia","P2-11E","WPS-2_cl","Berkelbacteria","Subgroup_20","Subgroup_15","RsaHf231_cl","FCPU426_cl","AT-s3-28","Mollicutes","BD7-11","ABY1","Subgroup_9","Synergistia","GAL15_cl","Omnitrophicaeota_cl","uncultured.1","Omnitrophia","Armatimonadetes_unclassified","Lineage_IIc","Lentisphaeria"
"WIN_Q216_CORE1",1259.88712418438,1521.93525376078,1126.24048003693,715.439649203785,777.542328430858,140.989866353356,540.251348005791,196.588548769486,121.897488618006,220.926085223339,141.199672702096,205.40041541657,981.683905754988,93.1540188406101,272.958059710887,213.792669366175,81.824476008644,110.148333088559,40.4926253068418,32.3101777059774,80.3558315674632,27.4846316849548,526.194322640203,0,48.255460210226,25.8061808950339,66.5086125506158,11.3295428319661,19.0923777353503,14.896250760548,50.9829427438474,11.5393491807062,67.3478379455762,4.61573967228248,22.8688920126723,12.3785745756667,8.81186664708474,0,4.61573967228248,55.1790697186497,6.71380315968361,5.87457776472316,4.19612697480226,1.88825713866102,6.08438411346327,1.46864444118079,13.2177999706271,3.35690157984181,2.51767618488135,0.839225394960452,19.5119904328305,10.0707047395254,2.51767618488135,2.72748253362147,9.86089839078531,0.629419046220339,0.839225394960452,1.6784507899209,14.2668317143277,9.44128569330508,5.87457776472316,1.25883809244068,0,0,0,0.629419046220339,0,0.629419046220339,2.51767618488135,0.839225394960452,0,1.6784507899209,0.419612697480226,0,0.419612697480226,1.04903174370056,0,2.09806348740113,0,0,0.839225394960452,0.629419046220339,0,0.209806348740113,0,0.209806348740113,2.51767618488135,1.46864444118079,1.6784507899209,0,1.6784507899209,0,0,0.209806348740113,0,0,0,0,0,0,0,0,0,0.419612697480226,0.209806348740113,0,0.209806348740113,0,0
"WIN_Q216_CORE2",1280.42386445168,1765.27402174513,769.910039185386,880.843313648656,674.982063027761,33.1144102875435,432.419007671505,117.556156520779,51.3273359456924,829.240024283901,69.8162150229041,203.929576687455,753.076880622551,84.165792814173,256.084772890336,154.533914675203,151.774380484574,112.588994977648,19.8686461725261,23.7319940394061,109.001600529831,68.160494508527,514.101219714112,1.10381367625145,43.3246867928694,21.8003201059661,75.6112368232242,14.9014846293946,11.5900436006402,13.5217175340802,54.086870136321,29.8029692587891,45.5323141453723,27.3193884872234,12.4179038578288,23.1800872012804,6.89883547657155,0,16.005298305646,46.6361278216237,6.34692863844583,3.31144102875435,2.48358077156576,1.10381367625145,8.83050941001159,1.10381367625145,9.38241624813731,9.93432308626304,3.31144102875435,0.275953419062862,13.2457641150174,25.1117611347205,3.58739444781721,0.827860257188587,15.1774380484574,0,1.93167393344004,4.13930128594293,16.5572051437717,13.2457641150174,4.96716154313152,5.51906838125724,1.10381367625145,0.827860257188587,0,0.551906838125724,2.2076273525029,0.827860257188587,17.1091119818975,0.827860257188587,0,4.69120812406866,0,0,1.10381367625145,0.827860257188587,0,1.10381367625145,0,0.827860257188587,0.275953419062862,0.275953419062862,0,0,0.551906838125724,0.275953419062862,5.79502180032011,1.10381367625145,5.24311496219438,0,1.10381367625145,0,0,0.827860257188587,0,0,1.10381367625145,0,0,0,0.275953419062862,0,0,0,0.275953419062862,0,0,0,0
"WIN_Q216_CORE3",1254.66989449774,1220.89721749006,472.518604859679,347.290714008189,1371.52933440928,37.3591559819481,620.161989300338,164.380286320571,5.6785917092561,175.737469739084,100.720284527332,349.980573238889,740.309034938283,120.147045637945,488.060013748169,207.716907259631,73.2239457246182,284.228458710661,50.2107056397382,45.4287336740488,86.9721151259751,83.0867629038525,683.821991093577,0.298873247855584,56.785917092561,44.2332406826265,55.2915508532831,15.5414088884904,36.1636629905257,52.0039451268717,113.870707432978,61.866762306106,73.5228189724738,12.8515496577901,27.1974655548582,47.5208464090379,21.5188738456021,0.298873247855584,20.6222541020353,53.199438118294,3.58647897426701,18.5301413670462,0.298873247855584,1.19549299142234,21.8177470934577,5.08084521354494,0.896619743566753,5.97746495711169,8.36845093995636,2.68985923070026,41.2445082040707,8.96619743566753,12.8515496577901,7.17295794853403,59.1769030754057,0,2.68985923070026,2.98873247855584,11.9549299142234,41.8422546997818,9.86281717923429,5.97746495711169,0.298873247855584,1.79323948713351,0,1.19549299142234,3.28760572641143,0.298873247855584,0.298873247855584,3.28760572641143,0,0.896619743566753,0,0,0,3.58647897426701,0.597746495711169,4.48309871783377,0.298873247855584,0.298873247855584,0.298873247855584,1.49436623927792,0,0.896619743566753,5.08084521354494,0,7.47183119638961,2.09211273498909,1.79323948713351,0,0,0.298873247855584,0.298873247855584,1.49436623927792,0,0,0.597746495711169,0,0,1.19549299142234,1.79323948713351,0,1.49436623927792,0,0.597746495711169,0.298873247855584,0,0.597746495711169,0
"WIN_Q216_IN1",473.333333333333,1979.09090909091,1736.06060606061,2562.42424242424,36.0606060606061,113.333333333333,247.575757575758,18.7878787878788,356.060606060606,817.575757575758,45.4545454545455,5.75757575757576,354.848484848485,0.909090909090909,35.7575757575758,93.9393939393939,297.878787878788,44.8484848484848,1.81818181818182,7.87878787878788,5.15151515151515,3.93939393939394,391.818181818182,7.87878787878788,13.3333333333333,0.303030303030303,109.393939393939,1.81818181818182,2.12121212121212,0,5.75757575757576,0,15.7575757575758,3.03030303030303,0,0,2.12121212121212,4.84848484848485,0,48.4848484848485,16.0606060606061,0,25.1515151515151,3.93939393939394,0.303030303030303,0.303030303030303,29.0909090909091,6.06060606060606,0,0,0,28.4848484848485,0,0,0.303030303030303,1.51515151515152,0,0.606060606060606,1.81818181818182,0.909090909090909,1.21212121212121,3.03030303030303,0,0.606060606060606,0,2.72727272727273,0,0,1.81818181818182,1.21212121212121,0,7.27272727272727,0.606060606060606,0,7.87878787878788,0,0,0,0,0.909090909090909,0,0,0,0,0,0,0.303030303030303,0,6.66666666666667,0,0,0,0,0,0,0,0,0.909090909090909,0,0,0,0,0,0,0,0,0,0,0
"WIN_Q216_IN2",877.933911797077,1596.91827279941,860.016893188973,977.757301185083,865.903913588779,78.3229670582815,363.459520335816,136.937213647649,136.425298830275,421.049937290435,272.850597660549,97.2638153011339,1309.99001766106,51.1914817374389,194.271673193581,261.588471678313,114.157004274489,69.1085003455425,53.4950984156236,40.4412705725767,48.8878650592541,19.1968056515396,493.997798766285,0,80.8825411451535,38.9055261204536,69.6204151629169,28.923187181653,2.30361667818475,6.91085003455425,61.4297780849267,2.81553149555914,72.435946658476,6.65489262586706,20.4765926949756,5.88702039980547,7.16680744324144,0,2.30361667818475,79.0908392843431,7.42276485192864,12.0299982082981,8.44659448667742,4.6072333563695,6.39893521717986,5.37510558243108,7.93467966930303,5.11914817374389,0,0,13.0538278430469,13.3097852517341,1.53574445212317,0.511914817374389,5.37510558243108,0.767872226061583,2.30361667818475,2.55957408687194,12.0299982082981,7.16680744324144,7.16680744324144,5.88702039980547,0,2.30361667818475,0,0.255957408687194,0.767872226061583,0.511914817374389,9.72638153011339,8.19063707799022,0,3.58340372162072,0.255957408687194,0,2.30361667818475,0.767872226061583,0.767872226061583,0,0,0.255957408687194,0.767872226061583,2.04765926949756,0,0.767872226061583,0,0,2.55957408687194,0,4.09531853899511,0,1.53574445212317,0,0,0,0,0,0,0.255957408687194,0.255957408687194,0,0,0,0,0,1.02382963474878,0.255957408687194,0,0,0
"WIN_Q216_IN3",212.035652992305,1748.32530587389,1859.04888445995,2661.05667201831,130.469283433907,96.8831312628024,111.646275074277,62.7433611987673,90.4242558452823,1434.97757847534,84.7035376183358,52.0400819354481,480.171252468213,5.536178929303,47.4265994943623,133.237372898559,118.474229087084,68.8331580210006,4.79802173872926,22.6983336101423,9.96512207274539,13.6559080256141,338.07599328277,0,27.680894646515,2.7680894646515,8.30426839395449,16.9776153831959,3.13716805993836,6.27433611987673,11.6259757515363,2.02993227407776,17.5312332761262,2.02993227407776,4.05986454815553,0.184539297643433,4.79802173872926,0,1.29177508350403,20.8529406337079,7.38157190573733,0.922696488217166,0.5536178929303,0,1.1072357858606,1.84539297643433,11.4414364538929,0.369078595286866,0,2.2144715717212,2.39901086936463,16.4239974902656,0.738157190573733,0.184539297643433,2.58355016700806,0,0,0,2.02993227407776,3.13716805993836,1.47631438114747,14.5786045138312,0,0,0,0.184539297643433,0,0,0,5.35163963165956,0,4.61348244108583,0.369078595286866,0,0,0,0,0,0,0,0.184539297643433,0,0,0,0.369078595286866,0.369078595286866,0.5536178929303,0.184539297643433,0.5536178929303,0,0.184539297643433,0,0,0,0,0,0,0,0.184539297643433,0,0.5536178929303,0,0,0,0.184539297643433,0,0,0,0
"WIN_R234",1284.12239844349,1260.8336772596,443.95967218914,388.833205589293,1216.6145864041,21.8147514887094,471.670302458581,274.453157243087,0.294793939036613,240.551854253877,214.609987618655,218.442308826131,1278.52131360179,90.5017392842403,347.562054124167,316.903484464359,81.9527150521785,126.466599846707,71.6349271858971,58.9587878073227,100.524733211485,75.7620423324096,510.288308472378,0,82.2475089912151,43.6295029774188,92.5652968574966,27.1210423913684,37.7336241966865,18.27722422027,83.7214786863982,54.5368787217735,91.3861211013501,14.7396969518307,34.7856848063204,15.9188727079771,11.2021696833913,0,20.3407817935263,68.3921938564943,2.65314545132952,6.78026059784211,0,1.47396969518307,22.9939272448558,5.60108484169565,0.294793939036613,2.65314545132952,5.60108484169565,0.294793939036613,31.248157537881,4.71670302458581,4.71670302458581,4.4219090855492,8.25423029302518,0,4.12711514651259,3.83232120747597,14.4449030127941,12.970933317611,7.36984847591533,5.60108484169565,1.17917575614645,0.88438181710984,0,0.294793939036613,4.71670302458581,2.06355757325629,3.83232120747597,7.07505453687872,0,0.589587878073227,0,0,0.88438181710984,4.4219090855492,0.294793939036613,0,0.294793939036613,0,0.88438181710984,1.47396969518307,0.589587878073227,1.76876363421968,4.4219090855492,1.17917575614645,5.60108484169565,3.53752726843936,1.47396969518307,0.589587878073227,1.17917575614645,0,0.88438181710984,1.76876363421968,0,0,0.294793939036613,0,0.589587878073227,0.294793939036613,0.88438181710984,0,0,0.589587878073227,0.294793939036613,0.88438181710984,0,1.47396969518307,0
"WIN_R234_CONINT",616.753150481838,1442.12644286773,612.940802711003,647.463729746902,1238.80122842317,84.5070422535211,424.653182251403,208.196547707296,5.29492745949381,210.314518691094,322.778777930742,132.373186487345,1672.77348300328,81.9654770729641,256.48628613788,406.226834692365,80.4828973843058,80.6946944826856,33.2521444456211,59.3031875463306,65.6571004977232,48.0779413322037,520.173673620671,0,122.418722863497,28.169014084507,56.9734194641533,86.6250132373187,6.77750714815207,7.20110134491158,49.560521020862,7.41289844329133,88.5311871227364,5.50672455787356,37.0644922164566,9.53086942708885,9.10727523032934,0,3.81234777083554,56.1262310706343,3.38875357407604,15.0375939849624,0,1.05898549189876,19.9089272476967,5.71852165625331,0.423594196759504,2.75336227893678,3.38875357407604,1.27078259027851,35.5819125277984,6.98930424653182,2.75336227893678,0.635391295139257,3.60055067245579,0,4.02414486921529,0.847188393519009,5.71852165625331,5.50672455787356,6.56571004977232,7.20110134491158,0,0.211797098379752,0,0.423594196759504,3.81234777083554,0,1.48257968865827,11.6488404108864,0,1.27078259027851,0,0,1.05898549189876,1.69437678703802,0.423594196759504,0.847188393519009,0,0.211797098379752,4.23594196759504,2.32976808217727,0.423594196759504,0.847188393519009,1.05898549189876,0.211797098379752,1.48257968865827,1.69437678703802,2.11797098379752,0,0,0,0,0.423594196759504,0,0,0.211797098379752,0,0.847188393519009,0,0.211797098379752,0,0,0.211797098379752,0.423594196759504,0.211797098379752,0,0.423594196759504,0
"WIN_R234_CORE1",2147.15245843651,2549.96462681288,408.560311284047,921.913689423417,381.146091262823,108.33038556774,471.34771842943,122.037495578352,13.26494517156,324.106827025115,35.3731871241599,258.224266006367,524.40749911567,60.5765829501238,241.864166961443,99.0449239476477,89.7594623275557,103.024407499116,28.2985496993279,18.1287584011319,94.6232755571277,40.6791651927839,467.368234877962,0,35.3731871241599,19.4552529182879,149.451715599576,2.65298903431199,6.19030774672798,12.380615493456,29.6250442164839,9.72762645914397,26.9720551821719,31.3937035726919,7.95896710293597,21.6660771135479,3.53731871241599,0,3.09515387336399,29.1828793774319,1.326494517156,0.884329678103997,0.442164839051999,10.169791298196,4.42164839051999,0.884329678103997,1.326494517156,2.65298903431199,0,0.442164839051999,4.86381322957198,11.496285815352,3.97948355146799,0,13.707110010612,0,0,0,12.380615493456,5.30597806862398,1.326494517156,8.84329678103997,2.21082419525999,0.442164839051999,0,0,0,0,4.86381322957198,0,0,7.07463742483198,0,0,0,0.442164839051999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.442164839051999,0,0,0.442164839051999,0,0,0,0,0,0,0.884329678103997,0,0,0,0.442164839051999,0,0.442164839051999,0,0
"WIN_R234_CORE2",1104.25800698521,1698.92992494612,882.254588689901,1434.01203834436,540.425057590845,48.859329716876,365.60897674073,132.830497139035,36.7838299769637,629.783755666196,138.218027792227,174.444527011964,821.691313071264,42.5429144683065,210.856803150777,191.536003566917,138.403804711303,81.9276213123282,27.3092071041094,31.396299323772,46.6300066879691,44.2149067399866,487.664412573382,0,43.1002452255332,22.66478412722,107.007505387531,16.9056996358772,11.8897228208367,6.50219216764509,61.1206063758639,28.6096455376384,64.6503678382998,20.4354610983131,21.5501226127666,12.0754997399123,6.13063832949394,0,11.33239206361,50.3455450694806,3.90131530058706,9.2888459537787,2.97243070520918,21.364345693691,12.632830497139,1.30043843352902,5.20175373411607,5.57330757226722,4.2728691387382,0.92888459537787,22.1074533699933,11.8897228208367,1.67199227168017,2.60087686705804,7.43107676302296,0,0.557330757226722,7.05952292487181,9.47462287285428,11.33239206361,3.15820762428476,8.35996135840083,2.04354610983131,1.30043843352902,0,0.557330757226722,1.11466151445344,0.92888459537787,5.94486141041837,3.15820762428476,0,4.83019989596493,0.185776919075574,0,4.64442297688935,0.92888459537787,0.371553838151148,0.92888459537787,0,3.90131530058706,0.371553838151148,1.30043843352902,0.185776919075574,0.557330757226722,1.48621535260459,0.743107676302296,4.83019989596493,0.743107676302296,2.60087686705804,0.371553838151148,3.52976146243591,0,0,0.743107676302296,0,0,0.743107676302296,0.185776919075574,0.371553838151148,0.557330757226722,0,0,0,0.371553838151148,0.371553838151148,0.371553838151148,0,0.371553838151148,0
