"","Sample","Sample_name","Type","Location","Depth","Study_day","Sort1","Sort2","Stage","Stage1","Stage.1","Moisture","pH","EC","DO","CO2","NH4","NO3","TN","TC","CN_ratio","copies.gdw","log.copies.gdw","fungal.bacterial.ratio","log.f.b.ratio","Chao1","Shannon","InvSimpson","Phase","Donor"
"K103_CORE2","gr_15_sp2","K103_CORE2","gr15","grave","core","103","K","K","Advanced1","G_Advanced","Advanced7",0.372093023,6.43,253.5,92.6,3.67986418,19.06294574,51.26139535,0.379,4.745,12.5342,2228590000,9.348030486,0.162515,-0.789105712,5037.312937,6.30297241,163.0203076,"DECLINE","Donor2"
"K103_CORE3","gr_15_sp3","K103_CORE3","gr15","grave","core","103","K","K","Advanced1","G_Advanced","Advanced7",0.493099122,5.78,343.6,87.9,41.38460666,121.5979925,3.410238394,0.628,10.333,16.4467,1084530000,9.035242113,2.18274,0.339002401,3884.958937,5.980271343,126.8908532,"DECLINE","Donor3"
"K103_IN1","gr_int_sp1","K103_IN1","grint","grave","interface","103","K","K","Advanced1","G_Advanced","Advanced7",0.74201278,6.86,1017,71.5,88.58690353,798.7709265,150.5099042,1.294,17.65,13.6375,48602900000,10.68666207,0.252189,-0.598273353,2490.724891,5.65686249,94.67095348,"DECLINE","Donor1"
"K103_IN2","gr_int_sp2","K103_IN2","grint","grave","interface","103","K","K","Advanced1","G_Advanced","Advanced7",0.660447761,6.22,435.8,92.6,22.03178884,229.141791,163.1223881,1.026,12.067,11.7643,5706630000,9.756380093,0.400092,-0.397840454,2622.03937,5.959691878,143.1910153,"DECLINE","Donor2"
"K103_IN3","gr_int_sp3","K103_IN3","grint","grave","interface","103","K","K","Advanced1","G_Advanced","Advanced7",1.061139028,6.79,266,87.9,62.76729361,384.1963149,23.61790508,1.333,18.002,13.5079,9645860000,9.984341166,1.18983,0.075485803,2373.657143,5.290474902,59.93906467,"DECLINE","Donor3"
"L117","con15_mean","L117","con15","control","core","117","L","con","Advanced1","Control","Advanced8",0.30758279,7.213333333,55.45666667,98.63333333,1.916169065,7.439136686,10.78529924,0.447333333,6.148,13.67513333,3098950000,9.491214834,0.0880987,-1.05503026,6478.394933,6.357344985,115.075391,"DECLINE","Control"
"L117_CONINT","conint_mean","L117_CONINT","conint","control","interface","117","L","con","Advanced1","Control","Advanced8",0.312502407,7.023333333,34.96666667,98.63333333,1.960390344,12.62819769,11.71686261,0.750666667,10.43533333,13.88483333,1140820000,9.057215882,0.110565,-0.956382287,5681.126365,6.785095215,287.97077,"DECLINE","Control"
"L117_CORE1","gr_15_sp1","L117_CORE1","gr15","grave","core","117","L","L","Advanced1","G_Advanced","Advanced8",0.385135135,5.57,678.1,86.5,31.7175822,420.1576577,126.4351351,0.552,9.186,16.6532,2700870000,9.431503406,0.321107,-0.493349905,3786.286885,6.186453196,151.6616622,"DECLINE","Donor1"
"L117_CORE2","gr_15_sp2","L117_CORE2","gr15","grave","core","117","L","L","Advanced1","G_Advanced","Advanced8",0.318404908,6.49,247,97.1,3.581525298,33.75116564,77.06516155,0.476,6.288,13.2205,9358800000,9.971220289,0.328151,-0.483926231,4631.422222,6.169077136,99.4305543,"DECLINE","Donor2"
"L117_CORE3","gr_15_sp3","L117_CORE3","gr15","grave","core","117","L","L","Advanced1","G_Advanced","Advanced8",0.502360081,6.05,262.7,94.7,47.32323196,141.7426658,14.37057496,0.716,11.733,16.3767,5286620000,9.723177788,0.97644,-0.010354651,3985.757576,6.188505108,148.2771983,"DECLINE","Donor3"
"L117_IN1","gr_int_sp1","L117_IN1","grint","grave","interface","117","L","L","Advanced1","G_Advanced","Advanced8",0.561230093,7.1,472.3,86.5,53.18973035,1046.440491,89.88522057,1.146,13.949,12.1743,3555300000,9.550876838,0.263656,-0.578961668,1789.360406,5.460812002,97.58861446,"DECLINE","Donor1"
"L117_IN2","gr_int_sp2","L117_IN2","grint","grave","interface","117","L","L","Advanced1","G_Advanced","Advanced8",0.474824356,5.83,721.2,97.1,15.85939495,89.4726776,367.0346214,1.075,12.634,11.7545,5991730000,9.777552137,1.87656,0.273362207,2064.61215,5.286899364,73.7412461,"DECLINE","Donor2"
"L117_IN3","gr_int_sp3","L117_IN3","grint","grave","interface","117","L","L","Advanced1","G_Advanced","Advanced8",0.587589237,6.51,272,94.7,37.29824855,157.2771737,101.2246897,1.061,14.354,13.5236,2175430000,9.337545643,0.730248,-0.13652959,2977.71777,5.985637042,166.287783,"DECLINE","Donor3"
"M132","con15_mean","M132","con15","control","core","132","M","con","Advanced1","Control","Advanced9",0.225498667,6.903333333,51.19333333,98.96666667,1.209401423,2.56627256,3.608726813,0.493,6.521,13.19953333,5926750000,9.772816574,0.10073,-0.996840137,4074.49115,6.316098217,127.5562889,"RECOVERY","Control"
"M132_CONINT","conint_mean","M132_CONINT","conint","control","interface","132","M","con","Advanced1","Control","Advanced9",0.268842377,6.883333333,78.42333333,98.96666667,1.824770179,5.631291342,13.53222796,0.742333333,10.56233333,14.13546667,1510920000,9.179240179,0.113261,-0.945918229,5112.489564,6.859332923,276.1194131,"RECOVERY","Control"
"M132_CORE1","gr_15_sp1","M132_CORE1","gr15","grave","core","132","M","M","Advanced1","G_Advanced","Advanced9",0.431113662,5.79,648,90.7,37.17364207,230.3520551,131.0518485,0.82,10.778,13.1375,5396780000,9.732134774,0.957619,-0.018807091,3506.924138,5.866030973,106.4840294,"RECOVERY","Donor1"
"M132_CORE2","gr_15_sp2","M132_CORE2","gr15","grave","core","132","M","M","Advanced1","G_Advanced","Advanced9",0.234229829,6.27,228.9,98.9,2.633014681,14.90949633,39.59409291,0.463,6.125,13.2338,7042180000,9.847707042,0.60834,-0.215853921,3384.471545,6.25417768,172.2592086,"RECOVERY","Donor2"
"M132_CORE3","gr_15_sp3","M132_CORE3","gr15","grave","core","132","M","M","Advanced1","G_Advanced","Advanced9",0.402111324,6.04,243.9,98.4,33.02288044,77.17220729,7.655527831,0.375,5.336,14.2163,4379220000,9.641397234,0.822842,-0.084683567,4184.675789,6.576653666,257.9011241,"RECOVERY","Donor3"
"M132_IN1","gr_int_sp1","M132_IN1","grint","grave","interface","132","M","M","Advanced1","G_Advanced","Advanced9",0.430951102,6.46,886.1,90.7,70.71132337,788.5494537,268.3510299,1.079,12.17,11.278,333041000,8.522497755,0.646872,-0.189181804,1488.739837,4.918641602,45.46000685,"RECOVERY","Donor1"
"M132_IN2","gr_int_sp2","M132_IN2","grint","grave","interface","132","M","M","Advanced1","G_Advanced","Advanced9",0.274409044,5.84,317,98.9,5.606624788,115.7163412,204.4152107,0.977,11.634,11.9109,3437890000,9.536292184,0.208179,-0.681562388,2091.060748,5.406647531,73.28051968,"RECOVERY","Donor2"
"M132_IN3","gr_int_sp3","M132_IN3","grint","grave","interface","132","M","M","Advanced1","G_Advanced","Advanced9",0.278996865,5.95,454.4,98.4,11.3580622,196.4539185,137.8758621,1.056,13.391,12.6853,2180300000,9.338516177,0.455298,-0.341704168,2775.326772,6.150157235,174.0976824,"RECOVERY","Donor3"
"N150","con15_mean","N150","con15","control","core","150","N","con","Advanced1","Control","Advanced10",0.407425308,7.22,51.4,97,2.513326537,7.57655914,6.490919473,0.449,5.926666667,13.12986667,445488000,8.648836203,0.124945,-0.903282657,4770.633663,6.591733558,182.1245372,"RECOVERY","Control"
"N150_CONINT","conint_mean","N150_CONINT","conint","control","interface","150","N","con","Advanced1","Control","Advanced10",0.56489846,7.196666667,44.26666667,97,4.822341389,10.06090865,7.863281771,0.945333333,12.688,13.5952,761099000,8.881441316,0.677639,-0.169001825,6730.256131,6.513175058,157.2484116,"RECOVERY","Control"
"N150_CORE1","gr_15_sp1","N150_CORE1","gr15","grave","core","150","N","N","Advanced1","G_Advanced","Advanced10",0.412132884,6.38,397.9,85.4,28.81617783,302.1587803,55.56272187,0.648,8.37,12.913,13513300,7.13076208,18.3817,1.264385461,4000.821577,6.374279543,211.8187729,"RECOVERY","Donor1"
"N150_CORE2","gr_15_sp2","N150_CORE2","gr15","grave","core","150","N","N","Advanced1","G_Advanced","Advanced10",0.350449294,6.49,220.5,96.5,3.304618647,28.05333333,38.01064613,0.557,7.426,13.3421,1051660000,9.021874267,0.457252,-0.339844159,3661.5,6.530357454,274.8577269,"RECOVERY","Donor2"
"N150_CORE3","gr_15_sp3","N150_CORE3","gr15","grave","core","150","N","N","Advanced1","G_Advanced","Advanced10",0.52427686,6.33,213.4,96.8,22.19152091,44.5088843,16.5272259,0.695,10.644,15.3153,875171000,8.94209311,0.845245,-0.073017177,3924.712531,6.187472029,89.4028043,"RECOVERY","Donor3"
"N150_IN1","gr_int_sp1","N150_IN1","grint","grave","interface","150","N","N","Advanced1","G_Advanced","Advanced10",0.75536193,6.65,259.3,85.4,32.14449816,355.2852547,78.21892761,1.319,15.12,11.4595,4966390000,9.696041233,1.85941,0.269374574,2749.428571,5.519853422,75.22147209,"RECOVERY","Donor1"
"N150_IN2","gr_int_sp2","N150_IN2","grint","grave","interface","150","N","N","Advanced1","G_Advanced","Advanced10",0.461584276,5.89,740.5,96.5,14.463176,212.2220369,168.3745086,0.909,11.266,12.3895,1237950000,9.092704712,0.544611,-0.263913848,2649.662791,5.990078644,148.848971,"RECOVERY","Donor2"
"N150_IN3","gr_int_sp3","N150_IN3","grint","grave","interface","150","N","N","Advanced1","G_Advanced","Advanced10",0.679330328,6.2,492.2,96.8,22.075115,233.6508264,142.1833011,1.213,14.932,12.3085,1708920000,9.232722402,0.937984,-0.02780442,3044.765957,6.103766563,165.2466114,"RECOVERY","Donor3"
"P168","con15_mean","P168","con15","control","core","168","P","con","Advanced1","Control","Advanced11",0.448909583,7.163333333,48.82333333,100.4666667,1.603389977,5.979173381,8.896706973,0.497333333,7.506,14.93816667,1226730000,9.088748695,0.134529,-0.871183793,4479.913232,6.511144466,174.4996602,"RECOVERY","Control"
"P168_CONINT","conint_mean","P168_CONINT","conint","control","interface","168","P","con","Advanced1","Control","Advanced11",0.619179787,7.153333333,44.51666667,100.4666667,3.476697076,9.426442599,8.35951746,0.759333333,11.216,14.5426,461043000,8.663741732,0.637033,-0.195838388,5265.558659,6.726260932,249.6360239,"RECOVERY","Control"
"P168_CORE1","gr_15_sp1","P168_CORE1","gr15","grave","core","168","P","P","Advanced1","G_Advanced","Advanced11",0.42676399,6.24,263.9,96.1,10.01755739,107.4067932,66.29696675,0.537,6.697,12.4732,6437330000,9.808705458,0.550898,-0.258928916,3577.674863,6.215611649,140.2531929,"RECOVERY","Donor1"
"P168_CORE2","gr_15_sp2","P168_CORE2","gr15","grave","core","168","P","P","Advanced1","G_Advanced","Advanced11",0.365921788,6.05,314.3,101.4,2.428115292,31.90793296,82.02815642,0.438,5.602,12.7837,7636460000,9.882891878,1.4655,0.165984948,2554.79703,5.58799209,97.83502375,"RECOVERY","Donor2"
"P168_CORE3","gr_15_sp3","P168_CORE3","gr15","grave","core","168","P","P","Advanced1","G_Advanced","Advanced11",0.647237401,6.51,109,101.4,8.888085486,19.04206436,24.18583768,1.321,16.551,12.534,1.8296e+10,10.26235717,0.0418103,-1.378716539,3676.485014,6.003807314,131.8698761,"RECOVERY","Donor3"
"P168_IN1","gr_int_sp1","P168_IN1","grint","grave","interface","168","P","P","Advanced1","G_Advanced","Advanced11",1.022590361,6.54,338.7,96.1,39.50976148,682.421988,105.767992,2.361,21.048,8.9167,647169000,8.811017655,0.871767,-0.059599478,1889.502793,4.860843382,39.36317227,"RECOVERY","Donor1"
"P168_IN2","gr_int_sp2","P168_IN2","grint","grave","interface","168","P","P","Advanced1","G_Advanced","Advanced11",0.571240972,5.16,681.3,101.4,9.401735107,254.7505362,338.7595535,1.106,11.889,10.75,1746370000,9.242136018,8.98468,0.953502773,1695.157233,5.266017739,60.56705401,"RECOVERY","Donor2"
"P168_IN3","gr_int_sp3","P168_IN3","grint","grave","interface","168","P","P","Advanced1","G_Advanced","Advanced11",0.564740307,5.6,623.2,101.4,12.70361741,178.5890271,216.9773226,1.023,12.726,12.4394,3593010000,9.555458128,0.198729,-0.701738159,2701.171533,5.824739095,127.6704749,"RECOVERY","Donor3"
"Q201","con15_mean","Q201","con15","control","core","201","Q","con","Advanced1","Control","Advanced12",0.465327112,7.186666667,44.62333333,100,2.272458433,8.129026317,8.791911168,0.502666667,7.066333333,14.03946667,1048850000,9.020713647,0.124046,-0.906417462,5293.191525,6.677835624,202.771322,"RECOVERY","Control"
"Q201_CONINT","conint_mean","Q201_CONINT","conint","control","interface","201","Q","con","Advanced1","Control","Advanced12",0.622028042,7.156666667,50.41,100,4.608634501,8.620905782,7.401187861,0.735333333,10.68166667,14.40006667,213338000,8.329069122,0.700437,-0.154631003,6799.836389,6.779201835,252.8906865,"RECOVERY","Control"
"Q201_CORE1","gr_15_sp1","Q201_CORE1","gr15","grave","core","201","Q","Q","Advanced1","G_Advanced","Advanced12",0.469767442,6.5,283.8,100,6.134179394,56.43906977,62.65128682,0.498,6.301,12.6429,1188970000,9.075169091,0.233972,-0.630835898,4110.013605,6.323711257,133.3841168,"RECOVERY","Donor1"
"Q201_CORE2","gr_15_sp2","Q201_CORE2","gr15","grave","core","201","Q","Q","Advanced1","G_Advanced","Advanced12",0.404433498,5.68,455.7,100,2.209216169,78.57337274,105.4261412,0.4,5.15,12.8884,845232000,8.926976014,0.28758,-0.541240722,4466.837675,6.407941623,106.9423274,"RECOVERY","Donor2"
"Q201_CORE3","gr_15_sp3","Q201_CORE3","gr15","grave","core","201","Q","Q","Advanced1","G_Advanced","Advanced12",0.482948295,6.79,86.23,100,4.54474337,16.52993033,12.76521892,0.437,5.891,13.4748,932403000,8.969603702,0.357698,-0.446483152,5311.813187,6.712140943,197.8251074,"RECOVERY","Donor3"
"Q201_IN1","gr_int_sp1","Q201_IN1","grint","grave","interface","201","Q","Q","Advanced1","G_Advanced","Advanced12",0.632853403,6.34,283.9,100,35.85745061,516.7436736,80.55410122,1.291,13.933,10.795,5523530000,9.742216808,1.12791,0.052274753,2916.011029,5.32919208,44.06229718,"RECOVERY","Donor1"
"Q201_IN2","gr_int_sp2","Q201_IN2","grint","grave","interface","201","Q","Q","Advanced1","G_Advanced","Advanced12",0.582931865,5.33,237.8,100,9.261124182,134.0215646,98.60610232,0.99,11.356,11.4682,350175000,8.544284973,2.79579,0.446504642,2918.647059,5.799885354,59.79906749,"RECOVERY","Donor2"
"Q201_IN3","gr_int_sp3","Q201_IN3","grint","grave","interface","201","Q","Q","Advanced1","G_Advanced","Advanced12",0.690555928,5.78,347,100,13.73856597,197.4569324,170.2277115,1.124,14.226,12.6536,3682480000,9.566140071,0.21899,-0.659575182,4533.714612,6.570870539,263.4930623,"RECOVERY","Donor3"
"R254","con15_mean","R254","con15","control","core","254","R","con","Advanced1","Control","Advanced13",0.498262323,7.593333333,74.38,100,2.01649254,8.453578308,10.28320741,0.596333333,8.287666667,13.87363333,1304060000,9.1152967,0.0589094,-1.229815747,6286.346154,6.581421833,172.4193183,"RECOVERY","Control"
"R254_CONINT","conint_mean","R254_CONINT","conint","control","interface","254","R","con","Advanced1","Control","Advanced13",0.682732999,7.606666667,58.59333333,100,5.765401987,9.871803951,9.998633412,0.817666667,12.36466667,15.1678,623658000,8.794946508,0.1757,-0.755227959,5538.186901,6.654750231,221.1930877,"RECOVERY","Control"
"R254_CORE1","gr_15_sp1","R254_CORE1","gr15","grave","core","254","R","R","Advanced1","G_Advanced","Advanced13",0.632664437,6.75,178.3,100,13.50395427,157.6283092,34.37302861,0.809,10.126,12.521,7896840000,9.897453161,1.04793,0.020330851,4716.279297,6.481129051,226.9225864,"RECOVERY","Donor1"
"R254_CORE2","gr_15_sp2","R254_CORE2","gr15","grave","core","254","R","R","Advanced1","G_Advanced","Advanced13",0.429403202,6.4,202.3,100,5.481313401,178.561048,41.26210577,0.38,4.863,12.7993,4173940000,9.620546547,0.580886,-0.23590942,5012.406742,6.215048454,105.9476076,"RECOVERY","Donor2"
"R254_CORE3","gr_15_sp3","R254_CORE3","gr15","grave","core","254","R","R","Advanced1","G_Advanced","Advanced13",0.549344375,6.73,170.6,100,6.125817181,62.03574879,45.009487,0.541,7.01,12.9529,822687000,8.91523461,0.413648,-0.383369591,5357.882662,6.808812485,314.4703715,"RECOVERY","Donor3"
"R254_IN1","gr_int_sp1","R254_IN1","grint","grave","interface","254","R","R","Advanced1","G_Advanced","Advanced13",1.02009702,7.83,361.2,100,43.28055409,1147.549781,7.811041811,1.327,13.487,10.1648,11511500000,10.06113036,0.381205,-0.418841146,5291.089866,6.17109003,106.6124637,"RECOVERY","Donor1"
"R254_IN2","gr_int_sp2","R254_IN2","grint","grave","interface","254","R","R","Advanced1","G_Advanced","Advanced13",0.589978829,5.96,471.9,100,9.290283029,669.063091,198.641355,0.882,9.834,11.1482,4505560000,9.653748669,4.20393,0.623655669,3447.864583,5.781203556,81.70501415,"RECOVERY","Donor2"
"R254_IN3","gr_int_sp3","R254_IN3","grint","grave","interface","254","R","R","Advanced1","G_Advanced","Advanced13",0.666857798,5.73,710.9,100,12.66272542,510.8363532,380.4880734,0.93,11.445,12.3005,1046170000,9.019600695,0.327502,-0.484785628,4415.065646,6.242402915,136.5745523,"RECOVERY","Donor3"
"S303","con15_mean","S303","con15","control","core","303","S","con","Skeletonization8","Control","Skeletonization1",0.522711699,7.533333333,42.22333333,100,1.868453988,7.068802993,6.315354055,0.418,5.765,13.7784,269447000,8.430472583,0.176327,-0.753680095,5288.682334,6.657847014,197.3272094,"RECOVERY","Control"
"S303_CONINT","conint_mean","S303_CONINT","conint","control","interface","303","S","con","Skeletonization8","Control","Skeletonization1",0.797439235,7.336666667,40.17,100,6.348392493,9.001178175,6.858079057,0.767333333,11.261,14.53826667,1495850000,9.174888628,0.180185,-0.744280242,6383.293696,6.859259916,279.9491979,"RECOVERY","Control"
"S303_CORE1","gr_15_sp1","S303_CORE1","gr15","grave","core","303","S","S","Skeletonization8","H_Skeletonization","Skeletonization1",0.520506634,6.86,124.2,100,11.4708123,67.28748693,27.65294733,0.413,5.517,13.3469,1108030000,9.044552744,0.284555,-0.545834458,4142.275862,6.161063743,122.9840977,"RECOVERY","Donor1"
"S303_CORE2","gr_15_sp2","S303_CORE2","gr15","grave","core","303","S","S","Skeletonization8","H_Skeletonization","Skeletonization1",0.526315789,6.57,94.51,100,4.394904097,50.36842105,42.79789474,0.485,6.066,12.4947,1172080000,9.068957448,0.2633,-0.579549134,4516.247465,6.714197748,279.3129737,"RECOVERY","Donor2"
"S303_CORE3","gr_15_sp3","S303_CORE3","gr15","grave","core","303","S","S","Skeletonization8","H_Skeletonization","Skeletonization1",0.672839506,6.64,114.3,100,26.84631338,172.7039506,35.24115226,0.792,10.989,13.8758,15482800000,10.18985023,0.0389173,-1.409857677,5178.313187,6.424122003,200.3513173,"RECOVERY","Donor3"
"S303_IN1","gr_int_sp1","S303_IN1","grint","grave","interface","303","S","S","Skeletonization8","H_Skeletonization","Skeletonization1",0.905254091,6.44,130.7,100,35.85346484,202.4650014,64.93105943,0.815,9.508,11.6697,3673030000,9.565024615,0.118611,-0.92587321,2942.982935,5.538419472,82.43460022,"RECOVERY","Donor1"
"S303_IN2","gr_int_sp2","S303_IN2","grint","grave","interface","303","S","S","Skeletonization8","H_Skeletonization","Skeletonization1",0.765326302,6.48,337.9,100,12.12044067,854.1825533,134.7297034,0.906,11.031,12.1778,1486280000,9.172101136,0.376261,-0.424510309,3524.564103,6.047505955,100.733339,"RECOVERY","Donor2"
"S303_IN3","gr_int_sp3","S303_IN3","grint","grave","interface","303","S","S","Skeletonization8","H_Skeletonization","Skeletonization1",1.073394495,7.8,1081,100,24.67885543,2549.445872,329.1444648,1.37,15.304,11.1742,121312,5.083904774,3517.23,3.546200461,3037.203509,5.91892055,150.4519653,"RECOVERY","Donor3"
"T340","con15_mean","T340","con15","control","core","340","T","con","Skeletonization9","Control","Skeletonization2",0.587178902,7.246666667,75.56666667,100,3.036079382,8.480144668,11.07628703,0.544666667,7.658333333,14.04756667,844343000,8.926518874,0.0511227,-1.291386332,5986.988235,6.736822013,219.9391814,"RECOVERY","Control"
"T340_CONINT","conint_mean","T340_CONINT","conint","control","interface","340","T","con","Skeletonization9","Control","Skeletonization2",0.818874905,7.173333333,75.37333333,100,6.779432329,10.02237659,11.13040625,0.862666667,13.23333333,15.24586667,1664860000,9.221378467,0.0654208,-1.184284357,6554.070896,6.839520131,280.7210001,"RECOVERY","Control"
"T340_CORE1","gr_15_sp1","T340_CORE1","gr15","grave","core","340","T","T","Skeletonization9","H_Skeletonization","Skeletonization2",0.65840081,7.03,91.33,100,22.32447687,37.70097841,6.483241565,0.592,7.814,13.19,3611080000,9.55763697,0.224129,-0.64950281,3136.427397,5.76873823,68.84933928,"RECOVERY","Donor1"
"T340_CORE2","gr_15_sp2","T340_CORE2","gr15","grave","core","340","T","T","Skeletonization9","H_Skeletonization","Skeletonization2",0.450669311,5.78,428,100,4.007149597,80.90866303,171.3724013,0.459,5.602,12.2105,1683130000,9.226118348,0.893838,-0.048740985,4347.422472,6.443978112,160.0398898,"RECOVERY","Donor2"
"T340_CORE3","gr_15_sp3","T340_CORE3","gr15","grave","core","340","T","T","Skeletonization9","H_Skeletonization","Skeletonization2",0.849193548,5.92,329.2,100,17.57283359,256.9885914,125.7944731,1.002,12.862,12.8361,842692,5.925669009,2030.45,3.30759203,4658.115974,6.176308227,93.65527195,"RECOVERY","Donor3"
"T340_IN1","gr_int_sp1","T340_IN1","grint","grave","interface","340","T","T","Skeletonization9","H_Skeletonization","Skeletonization2",1.034435262,6.67,171.1,100,28.42657761,99.55169881,0.217006428,1.139,13.912,12.2164,883278000,8.946097563,0.780025,-0.10789159,2225.121951,5.298978113,54.73491159,"RECOVERY","Donor1"
"T340_IN2","gr_int_sp2","T340_IN2","grint","grave","interface","340","T","T","Skeletonization9","H_Skeletonization","Skeletonization2",0.6485623,5.57,659.1,100,10.2785626,410.2722045,329.2728435,1.146,12.677,11.0569,1691620000,9.228302945,0.314681,-0.502129249,3607.35,5.546298882,30.93102211,"RECOVERY","Donor2"
"T340_IN3","gr_int_sp3","T340_IN3","grint","grave","interface","340","T","T","Skeletonization9","H_Skeletonization","Skeletonization2",0.826685007,5.67,463.6,100,12.58784765,919.5532325,238.3215039,1.155,13.476,11.6649,11449800000,10.05879775,0.0598675,-1.222809059,4019.454741,5.856568932,59.12186479,"RECOVERY","Donor3"
"U357","con15_mean","U357","con15","control","core","357","U","con","Skeletonization10","Control","Skeletonization3",0.491526239,6.986666667,34.73333333,100,3.322988674,7.698005454,8.05174179,0.405333333,5.752666667,14.0916,5393700000,9.731886943,0.0536299,-1.270593249,4186.364606,6.164561742,104.1141078,"RECOVERY","Control"
"U357_CONINT","conint_mean","U357_CONINT","conint","control","interface","357","U","con","Skeletonization10","Control","Skeletonization3",0.664314906,6.71,42.91666667,100,8.121684136,10.43945938,9.931713738,0.726,10.733,14.77353333,2403750000,9.380888795,0.17638,-0.75354988,5300.130859,6.365108878,134.9905328,"RECOVERY","Control"
"U357_CORE1","gr_15_sp1","U357_CORE1","gr15","grave","core","357","U","U","Skeletonization10","H_Skeletonization","Skeletonization3",0.515002459,6.54,67.01,100,8.66613255,67.36710936,24.12691917,0.505,6.534,12.9412,4996240000,9.698643122,0.330944,-0.480246078,4065.513514,6.328342166,141.7856537,"RECOVERY","Donor1"
"U357_CORE2","gr_15_sp2","U357_CORE2","gr15","grave","core","357","U","U","Skeletonization10","H_Skeletonization","Skeletonization3",0.405011655,5.89,120.4,100,2.663067965,9.348010878,56.12553225,0.26,3.312,12.7261,4401320000,9.643583337,0.69122,-0.160383649,4194.660976,6.365219783,129.7833013,"RECOVERY","Donor2"
"U357_CORE3","gr_15_sp3","U357_CORE3","gr15","grave","core","357","U","U","Skeletonization10","H_Skeletonization","Skeletonization3",0.558496559,6.15,150.9,100,15.96433538,47.30556555,44.30286218,0.482,6.557,13.591,126103000,8.100723798,1.46225,0.165021975,4680.835294,6.077856862,77.49347052,"RECOVERY","Donor3"
"U357_IN1","gr_int_sp1","U357_IN1","grint","grave","interface","357","U","U","Skeletonization10","H_Skeletonization","Skeletonization3",0.508692853,6,68.13,100,13.36130472,18.02385061,32.48316291,1.099,12.335,11.2207,5864990000,9.768267234,1.68308,0.226104714,2951.530909,5.475674207,63.45463529,"RECOVERY","Donor1"
"U357_IN2","gr_int_sp2","U357_IN2","grint","grave","interface","357","U","U","Skeletonization10","H_Skeletonization","Skeletonization3",0.547535211,5.89,174,100,7.500121008,207.2459155,93.16161972,0.979,10.973,11.2045,3465380000,9.539750936,3.13727,0.496552412,2726.021053,5.471943423,47.90431013,"RECOVERY","Donor2"
"U357_IN3","gr_int_sp3","U357_IN3","grint","grave","interface","357","U","U","Skeletonization10","H_Skeletonization","Skeletonization3",1.069279216,5.8,319.9,100,14.30033353,719.0607324,434.8245393,1.224,14.614,11.9424,2544370000,9.405580056,2.99561,0.476485888,3502.01791,6.380767804,185.8876125,"RECOVERY","Donor3"
"V376","con15_mean","V376","con15","control","core","376","V","con","Skeletonization10","Control","Skeletonization4",0.518846529,7.426666667,33.13,100,1.841779719,4.239303797,4.67652974,0.551666667,7.617,13.77796667,24275500000,10.38516858,0.0235763,-1.627523738,3880.621827,6.050511196,95.97736289,"RECOVERY","Control"
"V376_CONINT","conint_mean","V376_CONINT","conint","control","interface","376","V","con","Skeletonization10","Control","Skeletonization4",0.718151372,7.253333333,34.48333333,100,4.175036102,6.706921516,7.36110927,0.812,12.80766667,16.92453333,2297830000,9.361318013,0.37748,-0.42310578,4210.28169,6.400747038,144.8736172,"RECOVERY","Control"
"V376_CORE1","gr_15_sp1","V376_CORE1","gr15","grave","core","376","V","V","Skeletonization10","H_Skeletonization","Skeletonization4",0.616100767,7.48,79.86,100,8.896027414,37.13799562,0.995518072,0.513,7.205,14.0422,61794800000,10.79095215,0.137798,-0.860755544,1859.609442,5.041446019,29.67498727,"RECOVERY","Donor1"
"V376_CORE2","gr_15_sp2","V376_CORE2","gr15","grave","core","376","V","V","Skeletonization10","H_Skeletonization","Skeletonization4",0.520980926,5.97,180.1,100,3.009736142,7.037071753,53.5790881,0.662,8.093,12.2299,4942440000,9.693941414,1.22349,0.087600738,3018.164557,5.800334202,63.22468837,"RECOVERY","Donor2"
"V376_CORE3","gr_15_sp3","V376_CORE3","gr15","grave","core","376","V","V","Skeletonization10","H_Skeletonization","Skeletonization4",0.591034864,6.44,58.68,100,9.587197772,115.0424276,31.86312488,0.625,9.771,15.6295,406175000,8.60871329,2.21614,0.34559655,4418.688797,6.247240511,141.0976058,"RECOVERY","Donor3"
"V376_IN1","gr_int_sp1","V376_IN1","grint","grave","interface","376","V","V","Skeletonization10","H_Skeletonization","Skeletonization4",0.726737338,6.66,35.51,100,9.050619026,19.29341186,5.451885355,0.96,11.979,12.4758,4705160000,9.672574514,1.78998,0.252847917,2783.842466,5.841117364,93.7211059,"RECOVERY","Donor1"
"V376_IN2","gr_int_sp2","V376_IN2","grint","grave","interface","376","V","V","Skeletonization10","H_Skeletonization","Skeletonization4",0.626930204,5.42,46.52,100,5.072805763,34.14384188,19.43639284,0.89,11.037,12.398,3402900000,9.531849596,4.02036,0.604264633,2683.724138,5.809935939,88.66093188,"RECOVERY","Donor2"
"V376_IN3","gr_int_sp3","V376_IN3","grint","grave","interface","376","V","V","Skeletonization10","H_Skeletonization","Skeletonization4",0.718673219,5.29,414.7,100,10.52596324,344.4679443,164.9009664,0.811,12.351,15.2306,3143810000,9.497455757,2.6445,0.422344336,4107.428934,6.288867115,151.3265601,"RECOVERY","Donor3"
