"","Sample","Sample_name","Type","Location","Depth","Study_day","Sort1","Sort2","Stage","Stage1","Stage.1","Moisture","pH","EC","DO","CO2","NH4","NO3","TN","TC","CN_ratio","copies.gdw","log.copies.gdw","fungal.bacterial.ratio","log.f.b.ratio","Chao1","Shannon","InvSimpson","Phase","Donor"
"C12_CORE2","gr_15_sp2","C12_CORE2","gr15","grave","core","12","C","DC","Active","F_Active","Active",0.128755365,6.59,620.5,29,36.52367786,279.6002289,4.936423462,0.525,7.272,13.8503,45421600000,10.65726277,0.0264648,-1.577330803,4566.817073,6.198638916,131.9527433,"BLOOM","Donor2"
"C12_CORE3","gr_15_sp3","C12_CORE3","gr15","grave","core","12","C","DC","Active","F_Active","Active",0.368131868,5.99,407.7,48.9,42.47563728,597.3446154,1.503120879,0.636,12.195,19.18,30041600000,10.4777237,0.0299577,-1.523492065,5317.274747,6.114154847,98.67756036,"BLOOM","Donor3"
"C12_IN1","gr_int_sp1","C12_IN1","grint","grave","interface","12","C","DC","Active","F_Active","Active",0.451807229,7.07,4.311,38.8,10.15080003,8432.096386,0.971742972,0.989,27.874,28.1899,74659200,7.873083398,0.270638,-0.567611387,1314.71875,3.149597723,9.576281315,"BLOOM","Donor1"
"C12_IN2","gr_int_sp2","C12_IN2","grint","grave","interface","12","C","DC","Active","F_Active","Active",0.607142857,6.92,4.709,29,53.98820304,6049.714286,0.792857143,1.329,28.492,21.4424,2121210000,9.326583419,0.08703,-1.060330842,2921.624595,4.88786501,28.93609195,"BLOOM","Donor2"
"C12_IN3","gr_int_sp3","C12_IN3","grint","grave","interface","12","C","DC","Active","F_Active","Active",0.297752809,7.03,3.057,48.9,56.37575419,6234.750562,3.085191011,1.007,24.159,23.9853,2835440000,9.452620342,0.0343673,-1.463854642,3201.51227,5.103821221,29.07507795,"BLOOM","Donor3"
"D16","con15_mean","D16","con15","control","core","16","D","con","Advanced1","Control","Advanced",0.312233664,7.266666667,87.85666667,98.33333333,1.684401739,9.010969545,6.117533221,0.507,6.497,12.75083333,1346090000,9.129075658,0.0553899,-1.256569435,4402.459161,6.620115281,198.3469853,"BLOOM","Control"
"D16_CONINT","conint_mean","D16_CONINT","conint","control","interface","16","D","con","Advanced1","Control","Advanced",0.323844066,7.26,69.31,98.33333333,3.399160324,11.08766996,12.94089928,0.771333333,11.52733333,14.94183333,2494140000,9.396921689,0.0740778,-1.130312067,5188.666099,6.824171858,288.3311082,"BLOOM","Control"
"D16_CORE1","gr_15_sp1","D16_CORE1","gr15","grave","core","16","D","DD","Advanced1","G_Advanced","Advanced",0.382315522,5.9,706.3,53.2,51.06214053,1035.44648,1.0063257,0.915,16.179,17.6726,30137900000,10.47911232,0.0544977,-1.263621525,2495.49569,5.917942743,98.83524313,"BLOOM","Donor1"
"D16_CORE2","gr_15_sp2","D16_CORE2","gr15","grave","core","16","D","DD","Advanced1","G_Advanced","Advanced",0.325536062,5.84,699.4,38.6,45.42623421,675.4931774,1.845146199,0.309,3.98,12.8988,3327530000,9.522121724,1.35328,0.131388977,4118.879195,6.143015923,104.8383975,"BLOOM","Donor2"
"D16_CORE3","gr_15_sp3","D16_CORE3","gr15","grave","core","16","D","DD","Advanced1","G_Advanced","Advanced",0.357647059,5.88,300.5,50.2,45.94277565,284.5628235,0.495993725,0.602,12.275,20.3782,13500200000,10.13033922,0.311931,-0.505941402,3838.002899,6.030312785,95.09073189,"BLOOM","Donor3"
