"","Kingdom","Phylum","Class","Order","Family","Genus"
"Otu02957","Bacteria","Tenericutes","Mollicutes",NA,NA,NA
"Otu03234","Bacteria","Acidobacteria","Subgroup_9",NA,NA,NA
"Otu03252","Bacteria","Armatimonadetes","Chthonomonadetes",NA,NA,NA
"Otu03493","Bacteria","Acidobacteria","Subgroup_15",NA,NA,NA
"Otu03582","Bacteria","Acidobacteria","AT-s3-28",NA,NA,NA
"Otu03615","Bacteria","Hydrogenedentes","Hydrogenedentia",NA,NA,NA
"Otu03675","Bacteria","Synergistetes","Synergistia",NA,NA,NA
"Otu03696","Bacteria","Gemmatimonadetes","Longimicrobia",NA,NA,NA
"Otu03795","Bacteria","Latescibacteria","Latescibacteria",NA,NA,NA
"Otu03853","Bacteria","Patescibacteria","Microgenomatia",NA,NA,NA
"Otu03948","Bacteria","WS2","WS2_cl",NA,NA,NA
"Otu04079","Bacteria","Spirochaetes","Spirochaetia",NA,NA,NA
"Otu04223","Bacteria","Planctomycetes","BD7-11",NA,NA,NA
"Otu04371","Bacteria","Chloroflexi","P2-11E",NA,NA,NA
"Otu04520","Bacteria","GAL15","GAL15_cl",NA,NA,NA
"Otu04658","Bacteria","Acidobacteria","Subgroup_20",NA,NA,NA
"Otu04827","Bacteria","Elusimicrobia","Elusimicrobia",NA,NA,NA
"Otu05381","Bacteria","Lentisphaerae","Lentisphaeria",NA,NA,NA
"Otu05389","Bacteria","Patescibacteria","uncultured",NA,NA,NA
"Otu05504","Bacteria","Armatimonadetes","Armatimonadetes_unclassified",NA,NA,NA
"Otu05757","Bacteria","Firmicutes","BRH-c20a",NA,NA,NA
"Otu06476","Bacteria","Patescibacteria","Parcubacteria",NA,NA,NA
"Otu06749","Bacteria","Kiritimatiellaeota","Kiritimatiellae",NA,NA,NA
"Otu07237","Bacteria","FCPU426","FCPU426_cl",NA,NA,NA
"Otu07522","Bacteria","Omnitrophicaeota","Omnitrophia",NA,NA,NA
"Otu07614","Bacteria","Elusimicrobia","Lineage_IIc",NA,NA,NA
"Otu07689","Bacteria","Omnitrophicaeota","Omnitrophicaeota_cl",NA,NA,NA
"Otu08063","Bacteria","Spirochaetes","Leptospirae",NA,NA,NA
"Otu10969","Bacteria","Patescibacteria","Berkelbacteria",NA,NA,NA
"Otu12034","Bacteria","Patescibacteria","ABY1",NA,NA,NA
