"ADH_10_actual","p__Ascomycota","p__Basidiomycota","p__Mortierellomycota","k__Fungi_unclassified","p__Rozellomycota","p__Chytridiomycota","p__Mucoromycota","p__Glomeromycota","p__Monoblepharomycota","p__unclassified_Fungi","p__Zoopagomycota","p__Kickxellomycota","p__Olpidiomycota","p__Aphelidiomycota","p__Blastocladiomycota","p__Basidiobolomycota"
0,7231.46905919839,983.355693442898,409.399631058192,777.293308737213,144.013080664095,184.470903907429,86.7851752473587,35.007546536978,0.209626027167533,127.662250545028,0,11.7390575213819,0,1.8866342445078,4.61177259768573,0
1484.147,6829.92931183817,1655.72350590931,352.323209745467,587.019083009695,113.156938895253,188.594898158755,73.0630605459473,27.9399849124081,0.977899471934285,144.030622223464,0,7.26439607722612,0,4.61009751054735,15.3669917018245,0
1989.56009,7501.40361025571,1104.85393946612,269.493169096755,665.39632849584,226.108852102013,98.5079197645337,47.1272776766422,1.70134576449972,1.70134576449972,71.9669258383381,0,4.59363356414924,0,4.93390271704919,0.510403729349916,0
2973.68,6278.45573552252,2189.92678056357,392.389616152651,593.854004881296,177.279786998003,171.95473707566,101.508764144664,6.98912802307522,0,64.1224761482139,0,18.1939205680053,0,1.99689372087863,0,3.10627912136676
4027.69203,4660.51920592036,2414.8361329731,214.965347116175,1922.35404675203,134.206507694115,35.2402208387173,493.95042875602,9.98472923763656,0.587337013978621,96.3232702924938,0,14.0960883354869,0,1.46834253494655,1.46834253494655,0
0,6888.61424378186,1426.5851559224,100.196420295292,864.911390170157,362.605106927678,84.0855421420847,110.348480501423,39.2840590585068,0.662090883008541,110.569177462426,1.98627264902562,0.662090883008541,1.10348480501423,1.10348480501423,7.28299971309395,0
1026.394,6921.87813792826,1472.86821705426,239.386271438326,656.946620074708,417.962003454231,71.4945575772181,111.419046471462,55.2677029360967,5.86416034060329,41.2901152749327,2.24926697995742,0.160661927139816,0,0.722978672129172,2.49025987066715,0
1423.473,6709.49128857033,1060.24748123605,747.402348592422,797.890323889377,270.133207113395,202.628079428404,40.1199089413303,51.9530281515541,7.4379606464264,106.385376518584,4.28246219036671,1.80314197489125,0,0.112696373430703,0,0.112696373430703
214.938,6449.05763452609,1721.27258873762,100.202705616814,1067.87044092066,331.37336649463,81.2260095746057,83.6699780042841,90.1393062004917,3.01901982489685,60.0928708003278,7.33190528903521,3.5940712201153,0,0,1.1501027904369,0
493.696,5894.78799659823,2996.8007127526,80.0496766964997,532.944559186814,230.294685403421,80.0496766964997,63.0408077862822,48.4617772918101,20.9236085800294,42.9271453448346,3.91473966981196,0.809946138581784,0,0.404973069290892,4.58969478529678,0
0,2385.9768550034,507.1477195371,203.734318778567,4574.54050374404,707.964601769911,689.973743071088,9.48166877370417,615.09287173004,0,270.835359330935,10.6972673344355,0,23.8257317903336,0.729359136438782,0,0
1543.201,5407.67529952179,1399.31097132475,592.016180175857,1513.46348319421,552.594141542259,281.781876146239,109.353307166241,32.3946317467391,0,86.8998851618875,16.7972164612721,6.34180621497009,0,1.37120134377732,0,0
2970.8,7004.60737179487,1093.14903846154,551.282051282051,814.102564102564,319.511217948718,91.9471153846154,68.7099358974359,14.6233974358974,0.200320512820513,27.8445512820513,4.40705128205128,9.21474358974359,0.200320512820513,0.200320512820513,0,0
3542.968,7945.69830105285,1546.37964200232,166.076856433826,205.870692060322,60.7920588537613,36.1228175797712,25.2566041614661,3.81785876859371,0.146840721868989,6.31415104036651,2.34945154990382,1.02788505308292,0,0,0,0
0,8258.20790379712,718.941927034241,198.537509797891,374.453054461389,254.497107761914,89.6941073749591,33.2384136843045,5.25861470229296,7.83831248077629,56.5549128359808,0,0.0992191453262822,0,1.48828717989423,1.19062974391539,0
1445.51502,7160.42940211719,549.798717757567,695.541971074996,917.325182644998,315.528552258834,229.983599224691,31.1241985984792,13.0460712688236,13.6051886089161,62.0620247502609,0,0.931862233487401,0,2.42284180706724,8.20038765468913,0
2962.59226,6254.14536410115,1898.31767306895,847.208788171894,867.331076412878,28.2402929390631,34.7174243471052,13.4724333287274,24.5267375984524,2.50449081110958,28.3266546911704,0,0.604532264750587,0,0.604532264750587,0,0
3504.55394,7261.26814362109,2197.8021978022,136.921901627784,234.765234765235,56.1203502379973,60.2338837632955,29.6762061467944,0,0.881471469706764,20.5676676264912,0,0.587647646471176,0,0.881471469706764,0,0.293823823235588
4583.2796,8236.92700498773,855.484522207268,665.772702082179,145.623861927005,32.2618953368696,30.6290079961998,15.3392447153828,0.940147256749268,1.28651729870952,14.2011717203705,0.0494814345657509,0.247407172828755,0,0.54429578022326,0.692740083920513,0
0,4069.05121150262,1565.45664329458,326.440046152481,2410.93458773409,497.204224727079,389.278423715275,60.8857726102778,232.892517972841,0,411.999644980918,10.6505724682702,19.3485399840241,0.710038164551345,2.84015265820538,2.30762403479187,0
2639.949,5382.49211356467,550.736067297581,1590.43112513144,853.487556957588,344.593410445145,115.886785839467,1020.19803715387,21.0304942166141,0.21906764808973,102.304591657904,4.16228531370487,7.01016473887136,2.84787942516649,1.97160883280757,2.1906764808973,0.43813529617946
3573.444,3382.63184162369,3402.92796539677,2569.62235900848,252.537015471635,80.1863250707037,35.4350357677591,234.73631675262,4.32540342705041,0,33.7714190650474,0.332723340542339,2.49542505406754,0,0.332723340542339,0.665446681084678,0
0,6402.96729478016,463.504440112627,949.20944336149,1116.79662118259,811.40350877193,102.068442711718,15.1613601906,26.5323803335499,44.6718648473034,49.0036820446177,10.8295429932857,0.541477149664284,0,0,7.30994152046784,0
1507.78,6323.06792191905,512.206797510771,857.40120206372,874.953459922344,1099.40960587203,140.684006169885,38.2958353279081,3.98914951332376,81.1127067709164,51.3270570714324,15.6906547524068,0.797829902664752,0,1.063773203553,0,0
3103.803,6288.72707989149,819.209039548023,1966.59120112586,509.902302718799,325.419649595138,12.5435966468825,35.4892002692284,20.2941116482082,5.60892532990679,14.6851863183014,0.611882763262559,0,0,0.10198046054376,0.815843684350079,0
4567.716,7609.75609756098,646.563192904656,1453.48115299335,180.221729490022,72.0177383592018,12.9490022172949,9.75609756097561,1.06430155210643,3.72505543237251,8.3370288248337,1.59645232815964,0.177383592017738,0,0,0.354767184035477,0
0,4911.00552202389,530.114293052523,157.698728650315,2479.00346731732,943.623988699114,277.385385899576,118.402465647875,185.437267240272,157.441890330037,222.165147039938,0,2.82522152305124,7.44831128804418,5.90728136637986,1.54102992166431,0
1510.142,4341.62050050487,561.089430450564,411.811259995088,2871.48977976694,1002.64716316895,140.545261032121,125.808476380209,161.558824332069,90.0581284283492,284.911169936959,0,0.545806838959692,0,6.54968206751631,0,0
2847.791,4189.53779312218,1288.47683146808,2128.90587117171,1465.17446709467,484.706247454274,178.249316290707,164.090230230618,20.5597687995811,21.5295692146556,56.0544639913106,0,0.581880249044747,0,0.775840332059662,1.35772058110441,0
4578.995,6490.15292905095,1069.94623805677,1828.46318838965,375.497924733279,51.25490960751,11.4209309451517,145.12939079083,6.96398228362907,4.17838937017744,15.8778796066743,0,0.557118582690326,0,0.557118582690326,0,0
0,3515.33569987486,2498.91462573742,295.477181602268,2713.43565645989,404.269990040095,80.9561508797916,28.6028040963302,179.278289960926,5.87379012692494,277.089664683198,0,0,0,0,0.766146538294558,0
1589.377,5059.40315315315,2425.11261261261,628.941441441441,913.851351351351,315.596846846847,184.121621621622,242.539414414414,68.8344594594595,1.82995495495495,151.323198198198,0,7.60135135135135,0,0.703828828828829,0,0
3031.373,6695.11329605844,545.448250791947,2577.85317384756,73.3957658952033,18.8682511381537,7.7896449652928,64.5675016012048,1.55792899305856,0.865516107254756,13.8482577160761,0.173103221450951,0.519309664352854,0,0,0,0
4512.836,8670.20225811844,290.850517422159,830.154846748826,124.302885711247,27.9605513091313,7.14209734526722,14.8920327624721,0,2.73527132371936,27.6566322731624,0,4.10290698557904,0,0,0,0
0,3620.46957799869,3433.90193272219,521.538441702446,898.412821207081,767.157905594451,89.8670689410642,57.1178070887969,355.084516303717,9.79899173532408,244.974793383102,0,0.77360461068348,0,0,0.6446705089029,0
