"","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Rank"
"4438545","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__","s__","p__Proteobacteria_c__Alphaproteobacteria_o__Sphingomonadales_f__Sphingomonadaceae_g___s__"
"4424063","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Dorea","s__formicigenerans","p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Dorea_s__formicigenerans"
"192142","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Arcanobacterium","s__","p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Actinomycetaceae_g__Arcanobacterium_s__"
"4453535","k__Bacteria","p__Firmicutes","c__Bacilli","o__Gemellales","f__Gemellaceae","g__","s__","p__Firmicutes_c__Bacilli_o__Gemellales_f__Gemellaceae_g___s__"
"4457438","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__","s__","p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g___s__"
"1121144","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Sinobacteraceae","g__","s__","p__Proteobacteria_c__Gammaproteobacteria_o__Xanthomonadales_f__Sinobacteraceae_g___s__"
"299576","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Corynebacteriaceae","g__Corynebacterium","s__variabile","p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Corynebacteriaceae_g__Corynebacterium_s__variabile"
"869796","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__[Tissierellaceae]","g__","s__","p__Firmicutes_c__Clostridia_o__Clostridiales_f__[Tissierellaceae]_g___s__"
"73609","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","s__zeae","p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae_g__Lactobacillus_s__zeae"
"220679","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Porphyromonadaceae","g__Paludibacter","s__","p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Porphyromonadaceae_g__Paludibacter_s__"
"4481861","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__","s__","p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales_f__Bifidobacteriaceae_g___s__"
"836917","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Marinilabiaceae","g__Cytophaga","s__xylanolytica","p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Marinilabiaceae_g__Cytophaga_s__xylanolytica"
"4365130","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Porphyromonadaceae","g__Parabacteroides","s__distasonis","p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Porphyromonadaceae_g__Parabacteroides_s__distasonis"
"174174","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__02d06","s__","p__Firmicutes_c__Clostridia_o__Clostridiales_f__Clostridiaceae_g__02d06_s__"
"2532173","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Roseburia","s__faecis","p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Roseburia_s__faecis"
"4353790","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__","f__","g__","s__","p__Proteobacteria_c__Gammaproteobacteria_o___f___g___s__"
"4458306","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Veillonellaceae","g__Veillonella","s__dispar","p__Firmicutes_c__Clostridia_o__Clostridiales_f__Veillonellaceae_g__Veillonella_s__dispar"
"89212","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Novosphingobium","s__","p__Proteobacteria_c__Alphaproteobacteria_o__Sphingomonadales_f__Sphingomonadaceae_g__Novosphingobium_s__"
"4471067","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae","g__","s__","p__Proteobacteria_c__Alphaproteobacteria_o__Rhizobiales_f__Rhizobiaceae_g___s__"
"542066","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__","g__","s__","p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f___g___s__"
"288889","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__5-7N15","s__","p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Bacteroidaceae_g__5-7N15_s__"
"21464","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Oscillospira","s__guilliermondii","p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae_g__Oscillospira_s__guilliermondii"
"189997","k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Collinsella","s__","p__Actinobacteria_c__Coriobacteriia_o__Coriobacteriales_f__Coriobacteriaceae_g__Collinsella_s__"
"332450","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Coprococcus","s__eutactus","p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Coprococcus_s__eutactus"
"4335321","k__Bacteria","p__Spirochaetes","c__Spirochaetes","o__Spirochaetales","f__Spirochaetaceae","g__Treponema","s__","p__Spirochaetes_c__Spirochaetes_o__Spirochaetales_f__Spirochaetaceae_g__Treponema_s__"
"246717","k__Bacteria","p__Proteobacteria","c__Epsilonproteobacteria","o__Campylobacterales","f__Campylobacteraceae","g__Campylobacter","s__","p__Proteobacteria_c__Epsilonproteobacteria_o__Campylobacterales_f__Campylobacteraceae_g__Campylobacter_s__"
"4304056","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae","g__Agrobacterium","s__","p__Proteobacteria_c__Alphaproteobacteria_o__Rhizobiales_f__Rhizobiaceae_g__Agrobacterium_s__"
"4469032","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__","g__","s__","p__Firmicutes_c__Bacilli_o__Lactobacillales_f___g___s__"
"1139117","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Micrococcaceae","g__Kocuria","s__palustris","p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Micrococcaceae_g__Kocuria_s__palustris"
"4434334","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__","s__","p__Firmicutes_c__Clostridia_o__Clostridiales_f__Clostridiaceae_g___s__"
"2304693","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__Serratia","s__marcescens","p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae_g__Serratia_s__marcescens"
"43373","k__Bacteria","p__Spirochaetes","c__[Brachyspirae]","o__[Brachyspirales]","f__Brachyspiraceae","g__Brachyspira","s__","p__Spirochaetes_c__[Brachyspirae]_o__[Brachyspirales]_f__Brachyspiraceae_g__Brachyspira_s__"
"45363","k__Bacteria","p__Firmicutes","c__Erysipelotrichi","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Clostridium","s__cocleatum","p__Firmicutes_c__Erysipelotrichi_o__Erysipelotrichales_f__Erysipelotrichaceae_g__Clostridium_s__cocleatum"
"851938","k__Bacteria","p__Firmicutes","c__Erysipelotrichi","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Bulleidia","s__moorei","p__Firmicutes_c__Erysipelotrichi_o__Erysipelotrichales_f__Erysipelotrichaceae_g__Bulleidia_s__moorei"
"2038560","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Staphylococcaceae","g__Jeotgalicoccus","s__","p__Firmicutes_c__Bacilli_o__Bacillales_f__Staphylococcaceae_g__Jeotgalicoccus_s__"
"4342104","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Anaerotruncus","s__","p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae_g__Anaerotruncus_s__"
"546384","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__Trabulsiella","s__","p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae_g__Trabulsiella_s__"
"806092","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Microbacteriaceae","g__Clavibacter","s__michiganensis","p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Microbacteriaceae_g__Clavibacter_s__michiganensis"
"209237","k__Bacteria","p__Tenericutes","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__haemobos","p__Tenericutes_c__Mollicutes_o__Mycoplasmatales_f__Mycoplasmataceae_g__Mycoplasma_s__haemobos"
"2990918","k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Collinsella","s__stercoris","p__Actinobacteria_c__Coriobacteriia_o__Coriobacteriales_f__Coriobacteriaceae_g__Collinsella_s__stercoris"
"4449754","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__","s__","p__Proteobacteria_c__Betaproteobacteria_o__Burkholderiales_f__Comamonadaceae_g___s__"
"948115","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Staphylococcaceae","g__Macrococcus","s__","p__Firmicutes_c__Bacilli_o__Bacillales_f__Staphylococcaceae_g__Macrococcus_s__"
"4380976","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Pediococcus","s__","p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae_g__Pediococcus_s__"
"4449236","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Sutterella","s__","p__Proteobacteria_c__Betaproteobacteria_o__Burkholderiales_f__Alcaligenaceae_g__Sutterella_s__"
"4388385","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Brucellaceae","g__Ochrobactrum","s__","p__Proteobacteria_c__Alphaproteobacteria_o__Rhizobiales_f__Brucellaceae_g__Ochrobactrum_s__"
"1017181","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Micrococcaceae","g__Rothia","s__mucilaginosa","p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Micrococcaceae_g__Rothia_s__mucilaginosa"
"352392","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Perlucidibaca","s__","p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__Moraxellaceae_g__Perlucidibaca_s__"
"259357","k__Bacteria","p__Firmicutes","c__Erysipelotrichi","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Allobaculum","s__","p__Firmicutes_c__Erysipelotrichi_o__Erysipelotrichales_f__Erysipelotrichaceae_g__Allobaculum_s__"
