Sample_name,Sample,Type,Location,Depth,Sort1,Sort2,Stage,Stage1,Study day,Moisture,pH,EC,DO,CO2,NH4,NO3,TN,TC,CN_ratio,copies/gdw,log copies/gdw,fungal:bacterial ratio,log f:b ratio,Chao1,Shannon,InvSimpson
C21_CONINT,conint_mean,conint,control,interface,C,con,Active,Control,38,0.888315915,7.386666667,54.17,102.7666667,6.819598153,11.4925194,12.39970941,1.005666667,15.43933333,15.43776667,2.68058E+08,8.428228915,2.99660E-02,-1.523370695,1015.431579,4.787245892,37.91002482
C21,con15_mean,con15,control,core,C,con,Active,Control,38,0.555691534,7.636666667,49.06666667,102.7666667,2.340214273,9.116101795,8.877808412,0.628666667,8.327,13.42406667,3.66808E+08,8.564438687,2.30321E-02,-1.637666184,1187.428571,5.159609393,63.05531446
D38_INT1,gr_int_win1,grint,grave,interface,D,DD,Active_adv,F_Active,55,0.671096346,6.99,792.1,89.6,82.7055612,1900.593577,0.561488372,0.858,19.614,22.8634,7.80899E+10,10.8925948,7.28853E-01,-0.137360252,604.1578947,1.80657613,2.59853441
D38_CORE1,gr_15_win1,gr15,grave,core,D,DD,Active_adv,F_Active,55,0.548366432,7.58,266.8,89.6,26.11173309,364.4235234,63.05773906,0.571,8.299,14.5353,1.36970E+08,8.136625503,1.23363E-02,-1.908813927,880.9375,3.165458232,5.502679467
D38_INT2,gr_int_win2,grint,grave,interface,D,DD,Active_adv,F_Active,55,1.222777223,8.14,1559,84.6,101.4638357,5364.302364,1.117316017,1.901,21.954,11.5465,5.43600E+09,9.735279097,5.72733E-02,-1.242047941,658.6428571,3.980741688,14.06416053
D38_CORE2,gr_15_win2,gr15,grave,core,D,DD,Active_adv,F_Active,55,0.485695709,7.21,148.1,84.6,35.6462455,27.61413091,21.81793671,0.562,7.697,13.705,1.19219E+09,9.076345484,4.70548E-02,-1.327396227,875.8017241,4.406232418,26.92203617
D38_INT3,gr_int_win3,grint,grave,interface,D,DD,Active_adv,F_Active,55,0.648669202,6.16,429.4,93.1,97.00363741,1168.57673,0.430852218,1.165,24.232,20.7945,1.20908E+11,11.08245537,2.34035E+00,0.3692812,375.15,2.415501537,6.738134973
D38_CORE3,gr_15_win3,gr15,grave,core,D,DD,Active_adv,F_Active,55,0.597329585,7.18,325.9,93.1,41.92884751,253.7411291,47.33207027,0.763,9.265,12.1475,2.25999E+09,9.354106368,7.61029E-02,-1.11859891,779.9791667,3.89682177,21.72470756
D38_CONINT,conint_mean,conint,control,interface,D,con,Active_adv,Control,55,0.754784522,7.446666667,72.00666667,99.63333333,7.674621795,16.67085887,15.50197149,0.918,15.13266667,16.33873333,1.16486E+08,8.066272104,8.55465E-02,-1.067797601,1286.779412,5.702765141,138.5416641
D38,con15_mean,con15,control,core,D,con,Active_adv,Control,55,0.476918361,7.796666667,47.79333333,99.63333333,2.74338725,7.260269713,11.71988568,0.585666667,8.417666667,14.2118,1.02878E+09,9.012320784,4.99626E-02,-1.301354616,1711.844444,5.422139272,85.74780331
